state,mae,rmse,max_abs_error
x,1.820283058925194e-05,2.896171205831034e-05,9.489202959217513e-05
y,8.116558413759772e-05,0.0001375530729006556,0.0005528841423977915
z,4.686092747055671e-05,6.980359683121341e-05,0.0003258149677762834
combined_l2,0.00010373992188417111,0.00015694639454392106,0.0005877681226959103
