epoch,ref_mse
0,0.05063062407600048
100,2.4361945595092174e-07
200,1.019935057491111e-07
300,5.260239272763182e-08
400,2.9471690878587318e-08
500,1.757720052323775e-08
600,0.00010452769817162801
700,1.2029026346258304e-08
800,8.621588284061694e-09
900,7.757233727324839e-09
1000,3.289851866383027e-08
1100,7.153587791657382e-09
1200,6.787608564682209e-09
1300,6.656211153399438e-09
1400,6.1108407475483985e-06
1500,6.487828916610073e-09
1600,5.9759880006919245e-09
1700,5.932599306344989e-09
1800,8.868893696508176e-07
1900,8.600706621044237e-09
2000,5.3472838392665285e-09
2100,5.325827755487801e-09
2200,5.286596759615717e-09
2300,3.683514176898173e-08
2400,1.0655741240052477e-08
2500,4.81414005479959e-09
2600,4.829607736994716e-09
2700,4.799846409834299e-09
2800,4.723310277185456e-09
2900,7.480226399449314e-08
3000,4.399375598881163e-09
3100,4.444569757701217e-09
3200,4.530886974804177e-06
3300,5.89210799678133e-06
3400,5.898621963067299e-09
3500,4.190034193144707e-09
3600,1.590073406486624e-07
3700,4.216603205051101e-09
3800,4.22142297103892e-09
3900,4.218392687566001e-06
4000,4.266140665235227e-09
4100,6.877146563069137e-07
4200,4.066312573387292e-09
4300,4.1102504741048765e-09
4400,1.1119484116014062e-08
4500,8.45793678490896e-09
4600,4.086134339925167e-09
4700,2.5975593909555317e-06
4800,4.944592417333473e-09
4900,4.085026390225954e-09
5000,2.8467912429052047e-07
5100,5.339955577067645e-09
5200,4.298390984421846e-09
5300,4.208827146144471e-09
5400,4.085600296011605e-09
5500,5.326635709241298e-07
5600,4.237313668859775e-09
5700,4.153050642472907e-09
5800,6.897953696696513e-08
5900,5.0656830807092585e-09
6000,4.176038543665601e-09
6100,4.030622393037833e-09
6200,1.8434114342895211e-06
6300,4.483990307133816e-09
6400,4.311443208106654e-09
6500,4.15736113443228e-09
6600,1.2453367684842736e-08
6700,4.1243258448682756e-09
6800,4.330841127116033e-09
6900,6.8061391615389425e-09
7000,4.197952936753449e-09
7100,4.014558571162922e-09
7200,3.851003979029348e-09
7300,8.440141405345935e-09
7400,3.989568135771768e-09
7500,6.696952541874791e-09
7600,3.930896304233646e-09
7700,3.735010372846747e-09
7800,6.170622398516507e-08
7900,3.9833111396441925e-09
8000,3.769429074799442e-09
8100,3.737314545076003e-09
8200,7.217694092119184e-09
8300,3.802248489944366e-09
8400,3.5839323904062612e-09
8500,3.119421022684491e-08
8600,3.559390344738335e-09
8700,7.879387511456168e-06
8800,3.825831374040239e-09
8900,3.4708650509474338e-09
9000,3.2355900391200913e-09
9100,3.070673115027652e-09
9200,1.1853845428490211e-08
9300,3.817860443683165e-09
9400,3.5665161094483587e-09
9500,3.314317403126679e-09
9600,3.062264878780496e-09
9700,1.2531399517242207e-07
9800,3.1979923377619935e-09
9900,2.9374578672504567e-09
10000,2.6825143365834583e-09
10100,1.3087235078220584e-07
10200,2.9311770513160502e-09
10300,2.667590235443519e-09
10400,1.085099101347715e-06
10500,2.6337640782080176e-09
10600,2.3566944893406188e-09
10700,3.049652505978612e-07
10800,2.5915807645662106e-09
10900,1.0050069102315622e-07
11000,2.2279315100630193e-09
11100,1.9503246268286053e-09
11200,4.0604560054816285e-09
11300,2.1314934664436325e-09
11400,1.8756735982292035e-09
11500,3.5192870495976133e-06
11600,2.1969467176236906e-09
11700,1.8698591558855982e-09
11800,5.087207024246759e-09
11900,1.599202319733993e-09
12000,1.753420106417402e-07
12100,2.339278165039407e-09
12200,1.5319534914836627e-09
12300,1.3002196132733876e-09
12400,6.207400450695907e-08
12500,1.6143682227611047e-09
12600,1.375429256730168e-09
12700,1.3547225115276108e-08
12800,1.1945784884452763e-09
12900,9.829610103185529e-10
13000,1.1321694818422956e-07
13100,1.2541074378237826e-09
13200,1.0550052785453896e-09
13300,8.67961660739807e-10
13400,1.869735283607871e-08
13500,8.31346920238372e-10
13600,1.3816586998769245e-07
13700,7.930205113072849e-10
13800,3.2507935656761314e-08
13900,7.295441589809214e-10
14000,5.862067659012622e-10
14100,2.09532588103671e-07
14200,6.880973796483416e-10
14300,5.461922989600403e-10
14400,9.761406288988644e-09
14500,4.999485065993413e-10
14600,3.9465770107910726e-10
14700,8.908934398590082e-08
14800,4.798645515073939e-10
14900,3.920335754635346e-10
15000,1.3296337411786668e-09
15100,3.156430624495778e-10
15200,2.698899389046298e-07
15300,4.1714153999290946e-10
15400,2.875839794054812e-10
15500,1.3852377671917695e-08
15600,2.4921999455415856e-10
15700,1.217712664382548e-09
15800,4.0383157592405714e-10
15900,1.0135383051573506e-06
16000,2.4672583431725587e-10
16100,1.7514762928877457e-10
16200,2.1410274647352116e-10
16300,9.128633671567833e-09
16400,1.7224046128680597e-10
16500,1.7625688062528677e-10
16600,2.777499416472249e-10
16700,1.5352622513556327e-10
16800,4.276455958662386e-09
16900,2.2138727092412611e-10
17000,1.1762511046508462e-10
17100,5.757467818805311e-07
17200,1.3426719307855904e-10
17300,1.0443219117613652e-10
17400,1.9767281698476105e-08
17500,9.851135251615982e-11
17600,9.443321872318866e-11
17700,2.6490877274346157e-10
17800,1.5405683672442365e-10
17900,3.5807025564548717e-10
18000,7.981824039629625e-11
18100,3.173269671205943e-10
18200,1.3620054931414607e-07
18300,8.226259418304598e-11
18400,7.808105062033442e-11
18500,1.7775077616079821e-10
18600,1.5625104453015643e-10
18700,1.192787188269987e-10
18800,6.585046219424141e-11
18900,1.6971063717267202e-09
19000,5.824893661701183e-09
19100,6.305500856240544e-11
19200,7.894261650895508e-09
19300,6.148140740421399e-11
19400,5.985966677310022e-11
19500,1.3419680033291384e-09
19600,3.152506290167115e-08
19700,6.276318555200455e-11
19800,7.523869997570778e-11
19900,5.6914000137504704e-11
19999,3.1007911136409184e-09
