epoch,loss,residual_loss,ic_loss,grad_norm,update_norm,lr,layer_1_grad_norm,layer_2_grad_norm,layer_3_grad_norm,layer_4_grad_norm,layer_5_grad_norm,layer_6_grad_norm
0,0.2715587019920349,0.2715587019920349,0.0,2.5826630620077866,0.10223936289548874,0.001,0.4031853992843245,0.8194719640417626,0.8574817610488654,0.9823717593687975,0.9861233640336373,0.6537409911984643
10,0.03642082214355469,0.03642082214355469,0.0,0.5625068934004976,0.04048727825284004,0.00099955,0.08977078501824806,0.17980037129600385,0.20930235727042568,0.22676674088438978,0.2464428197106118,0.1744882233722137
20,0.010160831734538078,0.010160831734538078,0.0,0.31455454260813515,0.02113414742052555,0.0009991,0.03360529101148616,0.07129617551042035,0.08978036012550435,0.10513222393708238,0.11779734557048063,0.08523867144363578
30,0.0036268734838813543,0.0036268734838813543,0.0,0.14216963032977684,0.012296526692807674,0.00099865,0.02906915356980631,0.052402727240838,0.048618134520329113,0.04528113720582323,0.046089063119214194,0.03616476579222503
40,0.00023550717742182314,0.00023550717742182314,0.0,0.042261442379602485,0.012934282422065735,0.0009982,0.011245191812371172,0.01879837140853754,0.015853430233967798,0.01581973123365609,0.014739889041877098,0.009489727859342156
50,0.00039516776450909674,0.00039516776450909674,0.0,0.052842272649007385,0.005812209565192461,0.00099775,0.005397235854711356,0.010891045538309576,0.011768332408734915,0.013004848483330285,0.015113301968369292,0.011632941671794987
60,0.00012161678750999272,0.00012161678750999272,0.0,0.033397899825176824,0.003348442493006587,0.0009973,0.005473941874062745,0.011180090250160493,0.01120413408463389,0.010963317496107747,0.011877805913995204,0.009781042237568
70,9.32761759031564e-05,9.32761759031564e-05,0.0,0.020329699157386822,0.0020914669148623943,0.00099685,0.005236770257601994,0.008145914669946996,0.00749744806562221,0.008408347803819442,0.008861464567008447,0.006300881389829772
80,2.755509012786206e-05,2.755509012786206e-05,0.0,0.012444175174449122,0.0013441679766401649,0.0009964,0.0016807841564989755,0.0032278135356288633,0.0035437065736573085,0.0038970565738020223,0.004543104055230971,0.0036754668779625057
90,1.5538524166913703e-05,1.5538524166913703e-05,0.0,0.00722319300051535,0.0009174134465865791,0.00099595,0.0007364027053292334,0.001427247456234449,0.001757662708490702,0.0021135521820648336,0.002468492984402136,0.0019060535802702624
