epoch,loss,residual_loss,ic_loss,grad_norm,update_norm,lr,layer_1_grad_norm,layer_2_grad_norm,layer_3_grad_norm,layer_4_grad_norm,layer_5_grad_norm
0,0.08677655458450317,0.08677655458450317,0.0,0.6867254951512501,0.10621511191129684,0.001,0.2810536334857701,0.32343909728535786,0.30154405201435,0.3234053600393766,0.18539980028534186
10,0.039667241275310516,0.039667241275310516,0.0,0.30512533438484074,0.039539579302072525,0.00099955,0.08938213117366656,0.12889396724559612,0.13223617693432732,0.16824506609712375,0.11733615506530012
20,0.02517825923860073,0.02517825923860073,0.0,0.218648312394349,0.028872694820165634,0.0009991,0.06315123748093492,0.08388489276022178,0.0943328748328265,0.12143496155453969,0.09235364401042898
30,0.018843522295355797,0.018843522295355797,0.0,0.1451675454364081,0.02330067567527294,0.00099865,0.05716877955965275,0.05883031614308694,0.06307867129379637,0.08065866332192236,0.055071656543935026
40,0.014110223390161991,0.014110223390161991,0.0,0.10379152691905498,0.02259782887995243,0.0009982,0.041275972083982745,0.041492884238262744,0.04498681526365845,0.0558821355025941,0.041378801791605635
50,0.010713154450058937,0.010713154450058937,0.0,0.030829758662556227,0.019189750775694847,0.00099775,0.008296088248933454,0.008406636015771915,0.01071866294899606,0.01573745208319684,0.01380906868968349
60,0.008594685234129429,0.008594685234129429,0.0,0.0371102591086935,0.016353337094187737,0.0009973,0.011018620490725689,0.011265335173688155,0.014212643629003532,0.020237643116501048,0.01701816188412354
70,0.0070472895167768,0.0070472895167768,0.0,0.028664326862513384,0.014097141101956367,0.00099685,0.012676558144725401,0.012222771033872431,0.011415274896240736,0.013710721952796774,0.010652158759313269
80,0.0058303712867200375,0.0058303712867200375,0.0,0.0183287811136785,0.012904352508485317,0.0009964,0.005683413427214924,0.0054763822377501235,0.006198648301594513,0.008585387022828777,0.008662991876600029
90,0.004781296942383051,0.004781296942383051,0.0,0.012766440136287773,0.012669061310589314,0.00099595,0.004795744150416047,0.00442003056006009,0.003790799266471445,0.00497765319054462,0.00531902050251201
100,0.003936000633984804,0.003936000633984804,0.0,0.011351850333571488,0.011785412207245827,0.0009955,0.0047102599131151,0.004220840997062592,0.003680135894288837,0.0045413370140488145,0.004406558241825212
110,0.0032723855692893267,0.0032723855692893267,0.0,0.008888130976447617,0.010872600600123405,0.00099505,0.0029374970962933,0.002675634804423004,0.0025253548901780125,0.003534704795434905,0.0037622392555257886
120,0.002678156131878495,0.002678156131878495,0.0,0.007597192905380457,0.010047555901110172,0.0009946,0.0025308328812850907,0.0023332752600524927,0.0022002654368754025,0.003052784478823342,0.003225976871637597
130,0.002278704661875963,0.002278704661875963,0.0,0.006323127440685566,0.009349065832793713,0.00099415,0.0025544204395003415,0.0022158675586726904,0.0018182587425250895,0.002276731704752241,0.002455346534072254
140,0.0019520701607689261,0.0019520701607689261,0.0,0.005598802783359239,0.008796104229986668,0.0009937000000000001,0.0024100817049611343,0.0020443692348246496,0.001677674613214632,0.0020053698350568274,0.0021292490425835688
150,0.001679383683949709,0.001679383683949709,0.0,0.004984998158742702,0.008317316882312298,0.00099325,0.002139352109953937,0.0018212340667969902,0.0015382889405983432,0.00181123341639991,0.0019202368531882209
160,0.001449700677767396,0.001449700677767396,0.0,0.004441826522142639,0.007864643819630146,0.0009928,0.0018972303108013655,0.0016647213593159345,0.0014044256415584647,0.0016104995541592552,0.0017250471777709856
170,0.0012563444906845689,0.0012563444906845689,0.0,0.003952247201332522,0.007415571250021458,0.00099235,0.0016517810539827783,0.0015009818079080165,0.0012714910882644056,0.0014374929772336179,0.0015668168113202486
180,0.0010944702662527561,0.0010944702662527561,0.0,0.003505433776342056,0.006961270701140165,0.0009919,0.0014178631624697723,0.0013359543351071112,0.0011383888718220156,0.0012860691536957227,0.0014243642333419068
190,0.0009604479419067502,0.0009604479419067502,0.0,0.0030877873738575003,0.0064989556558430195,0.00099145,0.001227065591399829,0.0011866407167966874,0.0010073952109565013,0.001131689794048498,0.0012793367226864578
