state,mae,rmse,max_abs_error
x,6.22058556704768e-06,7.490030409659237e-06,1.3207853410079906e-05
y,6.625845117294968e-06,7.684070638127554e-06,1.2919674836187056e-05
z,1.2337963875746632e-05,1.4222565043861325e-05,2.4053330495155123e-05
combined_l2,1.653683039081368e-05,1.7816477023705337e-05,2.7347681053481668e-05
