iteration,min_w
0,0.8776503389672945
1,0.9147400611288603
2,0.9433212923363263
3,0.9632877251646612
4,0.9745483571547755
5,0.9776834861904946
6,0.9751294098261785
7,0.9710185577442044
8,0.9687170817523097
9,0.9691637687396507
10,0.9716113295737895
11,0.9748809237943338
12,0.9780587928794788
13,0.9806682478885745
14,0.9825743210506803
15,0.9838304639947869
16,0.9845663889942876
17,0.98493280923858
18,0.9850852284176853
19,0.9851816488712891
20,0.9853738075391304
21,0.9857839800317089
22,0.9864759386476919
23,0.9874377904862461
24,0.9885877849821951
25,0.9898004811080471
26,0.9909425500331117
27,0.9219549450294144
28,0.9287555242242811
29,0.933436738454135
30,0.936470139555231
31,0.9386082165466932
32,0.94063743779541
33,0.9431642658603188
34,0.9465013802026091
35,0.9506643513034361
36,0.9554434483391047
37,0.9605025521329085
38,0.9654708444631391
39,0.9700147401628815
40,0.9738920411218676
41,0.976991648905861
42,0.9793545946470712
43,0.9811654234982692
44,0.9827053086319976
45,0.9842710956242187
46,0.9860818248371588
47,0.9882061449549842
48,0.9905418610443967
49,0.9308563013287272
50,0.9501048753070399
51,0.9652305922761202
52,0.9755780249735951
53,0.9818012203247338
54,0.9852981691540471
55,0.9874142561740443
56,0.9889611336335071
57,0.9902446637946283
58,0.9168941513750806
59,0.9258999191274446
60,0.9338009503301539
61,0.9387044181802959
62,0.9367987628061363
63,0.9251921155296384
64,0.9053552640950598
65,0.8835318399310341
66,0.867352847504052
67,0.8617097135036785
68,0.8668152688660646
69,0.8789443171459951
70,0.892934323411562
71,0.9049783312208352
72,0.9140372303473379
73,0.9211956063347856
74,0.9280054027527672
75,0.9353713727915639
76,0.943511457709799
77,0.9524117060640496
78,0.9620015609890277
79,0.9718687453487053
80,0.9809803378774125
81,0.9879484370101715
82,0.9918310110339784
83,0.9305995844506864
84,0.9248508443658806
85,0.9185331516010259
86,0.9203495055288547
87,0.9301668023837315
88,0.9418763743706207
89,0.9488406036558966
90,0.9482884949537822
91,0.9419343330948117
92,0.9334568403346526
93,0.9259489547275143
94,0.9211934093443238
95,0.9201394132705744
96,0.9231998261931227
97,0.9299114986772442
98,0.938589707919484
99,0.946786428233548
100,0.9525848262615791
101,0.9557775086839203
102,0.9578500895969879
103,0.9607374903755297
104,0.9654206597577708
105,0.9714284058971359
106,0.977423394035525
107,0.9822144068419287
108,0.9853654029195678
109,0.9871036385061965
110,0.9878951653347248
111,0.9881829985948221
112,0.9883766174627115
113,0.9888388357018892
114,0.9897195324498997
115,0.990804636919857
116,0.9982279972304982
117,0.9585609015879828
118,0.9737248803834535
119,0.9904557425192508
120,0.9315866698590969
121,0.8288951487436034
122,0.8239941963261932
123,0.9203174949551819
124,0.9878627606301328
125,0.9593582909279017
126,0.9158083804730215
127,0.9143740260477685
128,0.9407515474381554
129,0.9701637206013327
130,0.9875160957321732
131,0.9814952298535871
132,0.95852869396912
133,0.948004764505644
134,0.9655519615253308
135,0.9915107247457374
136,0.9801513317711497
137,0.8634057468480629
138,0.7667505727847452
139,0.7599401419799109
140,0.8178986917791035
141,0.9029551014564889
142,0.9705937902932776
143,0.9635567262528436
144,0.8941094715404952
145,0.8535282958014198
146,0.8866368115282023
147,0.9528530946287949
148,0.9837223016895743
149,0.970444314271754
150,0.9445831318107855
151,0.9257691750630818
152,0.9319788246016469
153,0.967937565979931
154,0.997745036658666
155,0.8695218655847331
156,0.6549798192279362
157,0.6006850066730169
158,0.6811517617001146
159,0.8133646117507212
160,0.9260561499197901
161,0.939550193125077
162,0.8289347665484745
163,0.7477097579996853
164,0.7936724480913788
165,0.9122504533257043
166,0.9688326062511322
167,0.9429969027661905
168,0.8955373294999177
169,0.8641916800742249
170,0.8942624144618018
171,0.9716842764619471
172,0.9932308192144677
173,0.9985411153185885
174,0.9322441744624268
175,0.9814138545168095
176,0.9782088119772383
177,0.9794696301733011
