epoch,ref_mse
0,0.018591636560921505
100,8.153817573850605e-07
200,2.8612786515964376e-07
300,1.7515300210140704e-07
400,1.0791287347574532e-07
500,6.62800042614519e-08
600,4.016492824205963e-08
700,2.392754640211751e-08
800,1.4156070898841896e-08
900,8.59572889538392e-09
1000,5.664562248220722e-09
1100,4.267508411425475e-09
1200,3.6851142572969295e-09
1300,3.4870136943606526e-09
1400,3.4419156206846694e-09
1500,3.439109181188779e-09
1600,3.4367837926093834e-09
1700,3.4218638530559472e-09
1800,7.045453867710965e-05
1900,4.166969271309092e-09
2000,3.3256827554948492e-09
2100,3.29752760641729e-09
2200,3.2528571103805742e-09
2300,3.6652446999057997e-08
2400,3.2209666952616e-09
2500,3.1704412451314863e-09
2600,3.154862379903754e-09
2700,1.0355290338397626e-05
2800,3.3543197520162875e-09
2900,3.0553816801657644e-09
3000,3.0414885061804213e-09
3100,2.2180075296155185e-08
3200,3.4499640227387996e-09
3300,2.960697253102417e-09
3400,2.944243108056917e-09
3500,2.919113043936519e-09
3600,1.7536249749293616e-05
3700,3.185762081196725e-09
3800,2.8659489539165295e-09
3900,2.849543416512717e-09
4000,2.813805355238682e-09
4100,2.7686888572978666e-09
4200,3.586058878546649e-06
4300,3.2352391882280153e-09
4400,2.8349722894634653e-09
4500,2.804982090407475e-09
4600,2.7593708799074244e-09
4700,2.7059514112199326e-09
4800,2.6494456656730254e-09
4900,1.8514426717049854e-07
5000,1.0835495419164389e-05
5100,2.7376193334402128e-09
5200,2.6014951932219707e-09
5300,1.0086470310480816e-06
5400,2.907505547219962e-09
5500,2.6364419911586654e-09
5600,2.57517977616035e-09
5700,2.6457529706231438e-09
5800,8.844526516518849e-09
5900,2.598739053748732e-09
6000,2.1151669552066216e-07
6100,2.6538958277680652e-09
6200,2.563740751216613e-09
6300,2.4893358488593638e-09
6400,2.8514413105730763e-07
6500,2.6998145892006875e-09
6600,2.5444307040556218e-09
6700,5.070974664011465e-06
6800,2.6416869772865266e-09
6900,2.410977562528959e-09
7000,1.8272202687572794e-07
7100,2.545900963627194e-09
7200,2.4550129511453493e-09
7300,2.3625184280479254e-09
7400,3.0908500357861986e-07
7500,2.521729350161491e-09
7600,2.418554849063226e-09
7700,4.6927334035925285e-06
7800,2.3857018710112076e-09
7900,2.255953699041376e-09
8000,1.203561020489597e-06
8100,2.4509325296014704e-09
8200,2.3253062454868593e-09
8300,4.071188087666477e-06
8400,2.8263148897704644e-09
8500,2.2618085611835448e-09
8600,2.1399183646551913e-09
8700,7.020585750511166e-07
8800,2.3324719980035294e-09
8900,2.192949506060859e-09
9000,8.7044808980675e-09
9100,2.1149972204970734e-09
9200,1.980878083384859e-09
9300,8.648689311557883e-08
9400,2.1363212333063313e-09
9500,1.9863719408333646e-09
9600,1.3760123224399037e-06
9700,2.156721385551894e-09
9800,1.8909305375639954e-09
9900,2.0179714884991528e-09
10000,3.822193642463934e-09
10100,2.1289333500881153e-09
10200,3.386145404952974e-09
10300,1.7644679650234697e-09
10400,1.6712351632267268e-09
10500,3.967441408821924e-09
10600,1.8314331556896859e-09
10700,1.6666973589159706e-09
10800,1.5108732124059801e-09
10900,6.674856862910149e-09
11000,1.7133972477127208e-09
11100,1.5500636902674736e-09
11200,3.8557169641932545e-09
11300,2.7126562839479478e-09
11400,1.4794858327828216e-09
11500,1.3131553057509267e-09
11600,8.235667736926138e-09
11700,1.4757353912963956e-09
11800,1.3070584296912357e-09
11900,2.056739274767944e-06
12000,1.3560772728615302e-09
12100,1.1600147678673577e-09
12200,8.522293881044114e-07
12300,1.4431902474930932e-09
12400,1.2041535112058223e-09
12500,1.0742496675902193e-09
12600,2.0249966259798853e-09
12700,1.0553612643377674e-09
12800,9.100176628089353e-10
12900,8.076533957178154e-08
13000,1.1301881495984673e-09
13100,9.508234901456587e-10
13200,1.428132779024335e-07
13300,9.903838154504153e-10
13400,7.956237342706249e-10
13500,1.1993817914758e-06
13600,9.50516120344157e-10
13700,7.704359066659416e-10
13800,4.3845458417244016e-08
13900,1.22632351432392e-09
14000,6.511971225266385e-10
14100,2.9017497367152546e-08
