state,mae,rmse,max_abs_error
x,1.8871827237715113e-05,2.7430405058954887e-05,0.00011348317839016131
y,2.942151748709442e-05,4.959763887092866e-05,0.0002884705800786369
z,2.7773601053906177e-05,4.051552361773481e-05,0.00013033381167937286
combined_l2,5.116985522917942e-05,6.966965305847747e-05,0.0003093231691686221
