iteration,min_w
0,0.030462456520245217
1,0.09356474389293963
2,0.21636023308071403
3,0.3847380270395644
4,0.5229430636522878
5,0.5412885266947444
6,0.4810286364282702
7,0.4486697483037322
8,0.46458573802145675
9,0.5121447258030944
10,0.5731597413519691
11,0.6328664205027923
12,0.6811894726803593
13,0.7138451879529876
14,0.73218037217994
15,0.7418429289913221
16,0.7506281993635049
17,0.7654364842780426
18,0.7893686418906255
19,0.8207097225720282
20,0.854051189733334
21,0.8828338000021833
22,0.9025874425419326
23,0.9134460714666334
24,0.9199646202894202
25,0.9279421267963808
26,0.9407816961180603
27,0.9579080060252803
28,0.9754824319124674
29,0.9886351364882654
30,0.9943241998370708
31,0.9350451965404123
32,0.8990422920433591
33,0.8737590161726132
34,0.8720276380444886
35,0.8848496599666428
36,0.895046227884666
37,0.8906162855362869
38,0.8709817418413789
39,0.8453448651493713
40,0.8272992089045923
41,0.8279769085320257
42,0.8498859219632865
43,0.8845130437873822
44,0.9166251785507212
45,0.9352912231454098
46,0.9420723627503007
47,0.9463144435893975
48,0.9546560463755585
49,0.9672058559167823
50,0.9803140232237589
51,0.989784286137403
52,0.9926254943886068
53,0.8932820123179971
54,0.8323308714514044
55,0.7895954913635611
56,0.784004983363006
57,0.8069823157342075
58,0.8339398599867853
59,0.8435639636281438
60,0.8343766439974236
61,0.8207050203967542
62,0.816835242162461
63,0.8288986130165267
64,0.8553873245218722
65,0.8889733645300291
66,0.9182839330250271
67,0.9338261314892927
68,0.9365507270303176
69,0.9374395108555722
70,0.9458922126688074
71,0.9610776145063834
72,0.9750327997615031
73,0.9815262425022736
74,0.980160061668926
75,0.9743058013033733
76,0.9687368921754831
77,0.9678226933723024
78,0.972393744389211
79,0.9783694153459075
80,0.980775862322962
81,0.9792485622469201
82,0.9776677825018516
83,0.9790597266051886
84,0.9830736467109372
85,0.9876509115401544
86,0.9909706394383513
87,0.9231857536608017
88,0.9154630736589295
89,0.9070614285308644
90,0.9127870214423012
91,0.9301238267772924
92,0.9438439231694414
93,0.944452511678621
94,0.9368123376434142
95,0.9310373063582964
96,0.9328785729769504
97,0.9421453550054154
98,0.9538795890472797
99,0.9612755541876822
100,0.9619435927945899
101,0.960599452190103
102,0.9628704002392025
103,0.9688830924589679
104,0.9746634554091133
105,0.9770891343212416
106,0.9758442768798579
107,0.9728710328330445
108,0.9711887119535526
109,0.9723776145762308
110,0.9748117942625778
111,0.9758131983546348
112,0.9750618431834857
113,0.9743555974578234
114,0.974993898492191
115,0.976902890125286
116,0.9792927012136093
