epoch,loss,residual_loss,ic_loss,grad_norm,update_norm,lr,layer_1_grad_norm,layer_2_grad_norm,layer_3_grad_norm,layer_4_grad_norm,layer_5_grad_norm
0,0.0658598135912386,0.0658598135912386,0.0,0.4869579939938698,0.1062054673130475,0.001,0.0469838953164479,0.0663952312142915,0.0707845516814247,0.0726506997980947,0.0350898026525223
10,0.0290096495042585,0.0290096495042585,0.0,0.1921307479363531,0.0526041961919911,0.001,0.0706156344945414,0.0899823260625033,0.0854584774781025,0.0804502141312466,0.0534118407145927
20,0.0099100292170171,0.0099100292170171,0.0,0.1759956066040499,0.0395764176763294,0.001,0.0221632428937801,0.0245931289224553,0.0247370626890326,0.0296057708830771,0.028563646692091
30,0.0003852372548647,0.0003852372548647,0.0,0.0422133478650703,0.0348014441861616,0.001,0.0021740862807282,0.0037608673713032,0.0057171799152388,0.0078752087788947,0.0083782103286149
40,0.001172913806507,0.001172913806507,0.0,0.0791578378553358,0.0118150466236264,0.001,0.0148087408387996,0.0163119369322154,0.0151840698919491,0.0171858917820102,0.0171711805195296
50,0.0001339094770323,0.0001339094770323,0.0,0.031621572797328,0.0158732987278461,0.001,0.0099146602626618,0.012078588868914,0.0094371505722546,0.0082766523904842,0.0056649862543415
60,0.0001124794987142,0.0001124794987142,0.0,0.0205363592212228,0.0052676685904555,0.001,0.0014539749723484,0.002175908702721,0.0029941725265538,0.0041860193640858,0.0041941588395618
70,3.6771548836334335e-05,3.6771548836334335e-05,0.0,0.0126617307877099,0.0047885783027972,0.001,0.0042658818148784,0.0052331686421438,0.00398728141144,0.0035239919745862,0.0027875132609364
80,1.3055826130662234e-05,1.3055826130662234e-05,0.0,0.0046544962384508,0.0027199483060375,0.001,0.0008474678661749,0.0008829885622539,0.0007419797711934,0.0009523507819197,0.00105659419127
90,5.943742641910194e-06,5.943742641910194e-06,0.0,0.0045688902431305,0.0016997187957942,0.001,0.0016018903311745,0.0019468503153008,0.001463376098811,0.00127674575368,0.0009842228860235
100,2.5899075045728493e-06,2.5899075045728493e-06,0.0,0.0028704493002986,0.0012771939511554,0.001,0.0003493412774745,0.000468547629802,0.0004964383367361,0.0005998007701677,0.0005967050530808
110,1.7098510724082088e-06,1.7098510724082088e-06,0.0,0.0008882327918351,0.0005199441985778,0.001,0.0004041195848474,0.0004451124555818,0.0003199164331509,0.0002693890093287,0.0001982796381629
120,1.2530271938548337e-06,1.2530271938548337e-06,0.0,0.0014732678659141,0.0005491986888503,0.001,0.0002483050817083,0.0003360710472791,0.0003132001699136,0.0003307763420242,0.0002934552750288
130,1.2094816102587904e-06,1.2094816102587904e-06,0.0,0.0007233900939655,0.0002002309082104,0.001,7.852066836616286e-05,0.0001095016630786,0.0001187306624324,0.0001549281963067,0.0001816649686253
140,1.0949168429981462e-06,1.0949168429981462e-06,0.0,0.0001926380208615,0.0001720105511141,0.001,3.4936062626857665e-05,4.243984728994639e-05,3.8613361913204034e-05,4.388171467468099e-05,4.183128100905256e-05
150,1.0909875151668927e-06,1.0909875151668927e-06,0.0,0.0001573055581077,0.0001321823239703,0.001,4.191439777088483e-05,4.564939680663736e-05,3.861856573420821e-05,4.019406333000741e-05,3.360872466932772e-05
160,1.088768638337259e-06,1.088768638337259e-06,0.0,0.0001127956357857,4.567592209995199e-05,0.001,4.073088651363678e-05,4.72591432213968e-05,3.563854769760137e-05,3.112851937410496e-05,2.4311219979343116e-05
170,1.0821195138698962e-06,1.0821195138698962e-06,0.0,8.678544214274179e-05,6.094995378926629e-05,0.001,2.562642596924248e-05,3.111147590739192e-05,2.5024768766529026e-05,2.2522747008979724e-05,1.664331350867438e-05
180,1.0802839699291244e-06,1.0802839699291244e-06,0.0,6.41469415664005e-05,4.180713263918933e-05,0.001,8.526755682451775e-06,1.17376333061437e-05,1.1631938476074248e-05,1.379490918521522e-05,1.5163079181699494e-05
190,1.078438023012206e-06,1.078438023012206e-06,0.0,3.943782023483001e-05,3.943057437311508e-05,0.001,8.777901238206655e-06,1.0910520625453727e-05,9.137372343135436e-06,9.2271017995882e-06,7.885086315877036e-06
200,1.0765454785465196e-06,1.0765454785465196e-06,0.0,2.036804833907378e-05,4.16663528191662e-05,0.001,6.712255507935378e-06,7.449378587957149e-06,5.351724930611982e-06,4.934298181993473e-06,3.951372145753409e-06
210,1.0747729863896143e-06,1.0747729863896143e-06,0.0,1.659924785100976e-05,4.067073150574734e-05,0.001,5.662815114026473e-06,5.356839983800122e-06,3.435136822437958e-06,3.4679417469185665e-06,3.0986938349070613e-06
