state,mae,rmse,max_abs_error
x,0.00022330060490748067,0.0002816053665870228,0.0008308028795616096
y,0.0008309310856831775,0.001137428984241593,0.0023595387290739067
z,0.0007748178163605248,0.001062354234753806,0.002565121513267654
combined_l2,0.001314064839330783,0.0015816582427259115,0.0029660061156143863
