iteration,loss
0,0.22791409492492676
1,0.13501256704330444
2,0.08705973625183105
3,0.06760907173156738
4,0.06488794833421707
5,0.0708685964345932
6,0.07855845242738724
7,0.08244626224040985
8,0.08037561923265457
9,0.07337097078561783
10,0.06390520185232162
11,0.05445869266986847
12,0.046784911304712296
13,0.041661180555820465
14,0.03895855322480202
15,0.0379457026720047
16,0.03770503029227257
17,0.03748049587011337
18,0.036825232207775116
19,0.035559795796871185
20,0.033657774329185486
21,0.031172119081020355
22,0.028231795877218246
23,0.025055307894945145
24,0.021925941109657288
25,0.019126063212752342
26,0.016861386597156525
27,0.015205606818199158
28,0.01408421155065298
29,0.013304296880960464
30,0.012622633017599583
31,0.01182638294994831
32,0.010793598368763924
33,0.009513771161437035
34,0.008070802316069603
35,0.006602632347494364
36,0.005252267699688673
37,0.004123461898416281
38,0.0032546245492994785
39,0.0026209743227809668
40,0.0021625489462167025
41,0.0018194993026554585
42,0.0015515937702730298
43,0.0013338677817955613
44,0.0011420726077631116
45,0.0009490414522588253
46,0.0007383329793810844
47,0.000520136731211096
48,0.00032970093889161944
49,0.00020599225535988808
50,0.00016820472956169397
51,0.0002082222927128896
52,0.00029984203865751624
53,0.0004117460339330137
54,0.000514968647621572
55,0.0005871607572771609
56,0.0006179003976285458
57,0.0006115781143307686
58,0.0005821045488119125
59,0.0005424550618045032
60,0.0004991519963368773
61,0.0004556446219794452
62,0.00041710096411406994
63,0.00038846945972181857
64,0.0003684086259454489
65,0.0003482316969893873
66,0.000318551086820662
67,0.00027653962024487555
68,0.00022668422025162727
69,0.00017619233403820544
70,0.00013099296484142542
71,9.493532706983387e-05
72,7.003148493822664e-05
73,5.5936878197826445e-05
74,4.9839323764899746e-05
75,4.801348768523894e-05
76,4.774134868057445e-05
77,4.763371907756664e-05
78,4.672721843235195e-05
79,4.429235195857473e-05
80,4.074335083714686e-05
81,3.796033706748858e-05
82,3.794503936660476e-05
83,4.1082566895056516e-05
84,4.590862226905301e-05
85,5.0417416787240654e-05
86,5.331448119250126e-05
87,5.4193158575799316e-05
88,5.313294968800619e-05
89,5.051749758422375e-05
90,4.703732702182606e-05
91,4.347012873040512e-05
92,4.0330713090952486e-05
93,3.778556128963828e-05
94,3.5816767194774e-05
95,3.42782586812973e-05
96,3.282057514297776e-05
97,3.101052061538212e-05
98,2.869503623514902e-05
99,2.6185698516201228e-05
100,2.3998605684028007e-05
101,2.245031646452844e-05
102,2.154644244001247e-05
103,2.115205643349327e-05
104,2.1127116269781254e-05
105,2.1313921024557203e-05
106,2.1529820514842868e-05
107,2.164398210879881e-05
108,2.1630970877595246e-05
109,2.1537287466344424e-05
110,2.1434652808238752e-05
111,2.1405017832876183e-05
112,2.1505022232304327e-05
113,2.1703441234421916e-05
114,2.188279540860094e-05
115,2.1933270545559935e-05
116,2.1832047423231415e-05
117,2.162305827368982e-05
118,2.135337308573071e-05
119,2.1055753677501343e-05
120,2.0767660316778347e-05
121,2.052652052952908e-05
122,2.0343781216070056e-05
123,2.0200526705593802e-05
124,2.00688409677241e-05
125,1.9927796529373154e-05
126,1.976893145183567e-05
127,1.9601904568844475e-05
128,1.9453291315585375e-05
129,1.9346705812495202e-05
130,1.9283625078969635e-05
131,1.9248071112087928e-05
132,1.92251263797516e-05
133,1.9206441720598377e-05
134,1.9183606127626263e-05
135,1.9148088540532626e-05
136,1.9099055862170644e-05
137,1.9044438886339776e-05
138,1.8992846889887005e-05
139,1.894765955512412e-05
140,1.8907147023128346e-05
141,1.8866334357880987e-05
142,1.8818846001522616e-05
143,1.8761555111268535e-05
144,1.869703919510357e-05
145,1.863027318904642e-05
146,1.8564449419500306e-05
147,1.850105581979733e-05
148,1.844183134380728e-05
149,1.8387681848253123e-05
150,1.8336830180487595e-05
151,1.8286207705386914e-05
152,1.8234288290841505e-05
153,1.818162672861945e-05
154,1.812965638237074e-05
155,1.8079635992762633e-05
156,1.8032294974545948e-05
157,1.7987074897973798e-05
158,1.7942596969078295e-05
159,1.7897791622090153e-05
160,1.7852244127425365e-05
161,1.7805645256885327e-05
162,1.7757878595148213e-05
163,1.7709411622490734e-05
164,1.7661144738667645e-05
165,1.7613523596082814e-05
166,1.7566240785527043e-05
167,1.7518825188744813e-05
168,1.7470989405410364e-05
169,1.7422711607650854e-05
170,1.7374168237438425e-05
171,1.7325681255897507e-05
172,1.7277561710216105e-05
173,1.7229862351086922e-05
174,1.718258499749936e-05
175,1.713570782158058e-05
176,1.708901982055977e-05
177,1.7042308172676712e-05
178,1.6995469195535406e-05
179,1.6948668417171575e-05
180,1.690202043391764e-05
181,1.6855570720508695e-05
182,1.6809268345241435e-05
183,1.6763051462476142e-05
184,1.6716807294869795e-05
185,1.667051219556015e-05
186,1.6624149793642573e-05
187,1.6577734641032293e-05
188,1.6531344954273663e-05
189,1.6485017113154754e-05
190,1.643879477342125e-05
191,1.63926506502321e-05
192,1.6346562915714458e-05
193,1.630051337997429e-05
194,1.6254447473329492e-05
195,1.6208490706048906e-05
196,1.6162592146429233e-05
197,1.6116784536279738e-05
198,1.607106241863221e-05
199,1.6025451259338297e-05
200,1.5979887393768877e-05
201,1.5934421753627248e-05
202,1.5888947018538602e-05
203,1.5843565051909536e-05
204,1.579821946506854e-05
205,1.5752961189718917e-05
206,1.5707761122030206e-05
207,1.5662639270885848e-05
208,1.5617566532455385e-05
209,1.5572555639664643e-05
210,1.552759022160899e-05
211,1.548269938211888e-05
212,1.5437855836353265e-05
213,1.539308505016379e-05
214,1.5348376109614037e-05
215,1.5303770851460285e-05
216,1.525920924905222e-05
217,1.5214721315714996e-05
218,1.5170299775491003e-05
219,1.5125958270800766e-05
220,1.508168406871846e-05
221,1.5037487173685804e-05
222,1.4993353033787571e-05
223,1.4949327123758849e-05
224,1.4905340322002303e-05
225,1.4861439922242425e-05
226,1.4817588635196444e-05
227,1.477384375903057e-05
228,1.4730177099409048e-05
229,1.4686569556943141e-05
230,1.4643034774053376e-05
231,1.4599561836803332e-05
232,1.455620258639101e-05
233,1.4512899724650197e-05
234,1.4469677807937842e-05
235,1.442652410332812e-05
236,1.4383460438693874e-05
237,1.434046498616226e-05
238,1.4297566849563736e-05
239,1.4254720554163214e-05
240,1.4211977941158693e-05
241,1.4169315363687929e-05
242,1.4126724636298604e-05
243,1.408422667736886e-05
244,1.4041789654584136e-05
245,1.3999459042679518e-05
246,1.3957183000457007e-05
247,1.3915015188104007e-05
248,1.3872906492906623e-05
249,1.3830879652232397e-05
250,1.3788951036985964e-05
251,1.3747126104135532e-05
252,1.3705344827030785e-05
253,1.3663663594343234e-05
254,1.3622067854157649e-05
255,1.3580560334958136e-05
256,1.3539131032302976e-05
257,1.34977963170968e-05
258,1.3456536180456169e-05
259,1.3415360626822803e-05
260,1.3374266927712597e-05
