epoch,loss,residual_loss,ic_loss,grad_norm,update_norm,lr,layer_1_grad_norm,layer_2_grad_norm,layer_3_grad_norm,layer_4_grad_norm,layer_5_grad_norm
0,0.06347199903693465,0.2370010415150392,0.0,0.46785610560163227,0.10620397018845495,0.001,0.04401404664121263,0.06220523398520242,0.06630887691363818,0.06803179934580457,0.0328533797992448
10,0.028442565592218354,0.0373715351948295,0.0,0.18799653472813208,0.052922140228324935,0.001,0.06869777870777237,0.08762073564324993,0.08302737845024603,0.07794095670551879,0.05160062991425616
20,0.009359254591745782,0.010103165277244757,0.0,0.167249261840329,0.04035692678420326,0.001,0.020580220139649084,0.022638351357012587,0.02293281690537208,0.027753447746765147,0.026989092156049985
30,0.00031818706113838824,0.00032621288392123415,0.0,0.05163370710219503,0.03390469380097368,0.001,0.006548019578213954,0.008844390592627637,0.00920361147185642,0.010471975245274155,0.009897918408068999
40,0.0012120892639706342,0.0013410658945858774,0.0,0.07983765517107635,0.013064814156483633,0.001,0.01601253571357057,0.017323176200838022,0.01577286463020296,0.017640135403620937,0.017511544575990648
50,9.598796431462304e-05,9.670179291609133e-05,0.0,0.0286049087222279,0.015614531385761183,0.001,0.008097780683640893,0.009905742081253333,0.007895592178326107,0.007183634127575518,0.005202021809906479
60,0.00012215235883370566,0.00013526328063731037,0.0,0.02343101651627955,0.0050706766775927715,0.001,0.0018974110166714102,0.0027469901720739835,0.0036280917346424827,0.004815613679070933,0.004772515051726229
70,3.09689100608456e-05,3.172886645982499e-05,0.0,0.011248605679934109,0.0048919505090625585,0.001,0.003921278764405373,0.0047409546452521385,0.003637305644739517,0.0032010816121016547,0.0024288117959818233
80,1.4360638655904521e-05,1.4521161589103662e-05,0.0,0.007230319038291921,0.0027064052667166087,0.001,0.0008142127228821335,0.0010503861413783558,0.0011776808156553334,0.0015409333791954717,0.0014956876170209006
90,5.2130301837705906e-06,5.433110743431527e-06,0.0,0.0036475415880542427,0.001703626580687816,0.001,0.0013119621288688694,0.0016022249073946472,0.0011958361937324847,0.0010240168569928695,0.0007685417127065451
100,2.7568564526605623e-06,2.8168671095591642e-06,0.0,0.0037905102391978256,0.0012879843156801826,0.001,0.0005178468129128921,0.0007012804515214943,0.0007223331390190834,0.0008266344756670109,0.0007597075707135442
110,1.7034759529870018e-06,1.7261070244578939e-06,0.0,0.0010323068063001187,0.0005013905619987626,0.001,0.00014253013424768388,0.00016416804834876772,0.00015132561453146064,0.00021221542398634213,0.0002635012259077475
120,1.198926545378288e-06,1.2100900121462485e-06,0.0,0.001034317272218114,0.0005432733365123043,0.001,0.00015951795643444946,0.00021552067534784137,0.0002092726965356356,0.00023072076387835755,0.00021998820202417658
130,1.2187047277650452e-06,1.2302420968517693e-06,0.0,0.0007854405541260144,0.00025736278399013965,0.001,0.00012709314167897505,0.00016470952140184225,0.0001562211476781618,0.00017968041459225938,0.00019063909463161888
