epoch,ref_mse,trained_until
0,0.012793168951846998,0.4912762962962962
100,1.4226868196195112e-07,0.4912762962962962
200,7.01037086319128e-09,0.4912762962962962
300,6.931166465919138e-09,0.4912762962962962
400,6.776673300691354e-09,0.4912762962962962
500,6.5998063668577e-09,0.4912762962962962
600,6.40268911915899e-09,0.4912762962962962
700,6.187150007805049e-09,0.4912762962962962
800,5.954835972588433e-09,0.4912762962962962
900,5.70734535411295e-09,0.4912762962962962
1000,5.446584777013063e-09,0.4912762962962962
1100,5.2006354555585645e-09,0.4912762962962962
1200,4.944757466644008e-09,0.4912762962962962
1300,4.680624227408521e-09,0.4912762962962962
1400,4.410103692681306e-09,0.4912762962962962
2800,1.6342934608001366e-08,0.9825525925925924
4000,3.248408750914536e-05,1.4738288888888886
5400,9.865054472018808e-08,1.9651051851851848
6700,7.463684949006381e-07,2.456381481481481
8100,4.995754478506485e-08,2.9476577777777773
9400,3.499804097400663e-06,3.4389340740740737
10800,6.630681550168261e-08,3.9302103703703697
12100,1.295568379279726e-06,4.421486666666666
13500,1.941807366902684e-07,4.912762962962962
13600,2.209164451903042e-09,4.912762962962962
13700,1.3890321616150766e-09,4.912762962962962
13800,1.3892747349873801e-09,4.912762962962962
13900,1.3877563186340472e-09,4.912762962962962
14000,1.3860297485044667e-09,4.912762962962962
14100,1.38409495048417e-09,4.912762962962962
14200,1.381954993398918e-09,4.912762962962962
14300,1.3796107246344165e-09,4.912762962962962
14400,1.3770613446205546e-09,4.912762962962962
14500,1.3744916073094902e-09,4.912762962962962
14600,1.371820599378261e-09,4.912762962962962
14700,2.987146916717253e-09,4.912762962962962
14800,1.4460386371774891e-08,4.912762962962962
14900,1.6763533910398447e-08,4.912762962962962
15000,2.0619713970900445e-08,4.912762962962962
15100,2.57374800857175e-08,4.912762962962962
15200,3.1722942867835144e-08,4.912762962962962
15300,3.745762677603639e-08,4.912762962962962
15400,4.181892418961169e-08,4.912762962962962
15500,1.3395421892295492e-09,4.912762962962962
15600,2.8129385064228123e-08,4.912762962962962
15700,4.269709464387811e-08,4.912762962962962
15800,4.735822710491127e-08,4.912762962962962
15900,4.150861260102469e-08,4.912762962962962
16000,4.522578815206954e-08,4.912762962962962
16100,4.2466891471725884e-08,4.912762962962962
16200,4.638278988652061e-08,4.912762962962962
16300,4.442592892429734e-08,4.912762962962962
16400,4.2560437447123244e-08,4.912762962962962
17800,3.3399083883220415e-08,5.4040392592592585
17900,2.915605640599171e-09,5.4040392592592585
18000,2.881125114700227e-09,5.4040392592592585
18100,2.8738665624321923e-09,5.4040392592592585
18200,2.8654023163479054e-09,5.4040392592592585
18300,2.855731273144662e-09,5.4040392592592585
18400,2.4968889817721476e-08,5.4040392592592585
18500,2.594009172431125e-08,5.4040392592592585
18600,2.8453848571365918e-08,5.4040392592592585
18700,3.141383498913144e-08,5.4040392592592585
18800,2.7649836918408654e-09,5.4040392592592585
18900,2.1468359429420587e-08,5.4040392592592585
19000,2.414392899962697e-08,5.4040392592592585
19100,2.7172072375720684e-08,5.4040392592592585
19200,3.023974225722203e-08,5.4040392592592585
19300,3.3054495112195716e-08,5.4040392592592585
19400,3.534912891472244e-08,5.4040392592592585
19500,3.697122039833667e-08,5.4040392592592585
19600,2.663101334673935e-08,5.4040392592592585
19700,5.009852619422888e-08,5.4040392592592585
19800,2.712549729179283e-09,5.4040392592592585
19900,1.9815700088606185e-08,5.4040392592592585
20000,4.5833798078422744e-08,5.4040392592592585
20100,2.9015954872953527e-08,5.4040392592592585
20200,2.43599698005493e-08,5.4040392592592585
20300,4.31903906208812e-08,5.4040392592592585
20400,4.35787144143126e-08,5.4040392592592585
20500,3.988453927269924e-08,5.4040392592592585
20600,4.608483838804292e-08,5.4040392592592585
20700,4.859261586159036e-08,5.4040392592592585
20800,2.668957153777663e-09,5.4040392592592585
20900,2.469959177162547e-08,5.4040392592592585
21000,3.69301194970093e-08,5.4040392592592585
21100,1.9153050140971944e-08,5.4040392592592585
21200,5.2115259211497695e-08,5.4040392592592585
21300,1.5455409242210626e-08,5.4040392592592585
21400,4.511611408980187e-08,5.4040392592592585
21500,4.121415631481644e-08,5.4040392592592585
21600,6.257240784434769e-08,5.4040392592592585
21700,2.7282497587463835e-08,5.4040392592592585
21800,2.626778745391137e-09,5.4040392592592585
23100,2.0735536970884313e-07,5.8953155555555545
23200,4.543066608927059e-09,5.8953155555555545
23300,4.474874234788939e-09,5.8953155555555545
23400,4.4536570280465285e-09,5.8953155555555545
23500,3.280429439307568e-08,5.8953155555555545
23600,2.0145258343080798e-08,5.8953155555555545
23700,2.1599482642926292e-08,5.8953155555555545
23800,2.2845086456622404e-08,5.8953155555555545
23900,2.392206306461144e-08,5.8953155555555545
24000,2.4895512441314565e-08,5.8953155555555545
24100,4.222971322986402e-09,5.8953155555555545
24200,1.830710401873444e-08,5.8953155555555545
24300,2.2921720563452294e-08,5.8953155555555545
24400,2.4623590783099206e-08,5.8953155555555545
24500,2.6591880262160835e-08,5.8953155555555545
24600,2.889304701133043e-08,5.8953155555555545
24700,4.8867199310331e-08,5.8953155555555545
24800,4.8212757115706773e-08,5.8953155555555545
24900,3.3219594697677486e-08,5.8953155555555545
25000,4.446148886364528e-08,5.8953155555555545
25100,4.504777252719556e-09,5.8953155555555545
25200,2.1260124287270565e-08,5.8953155555555545
25300,3.494156127158708e-08,5.8953155555555545
25400,2.3287945894326614e-08,5.8953155555555545
25500,7.062070087784415e-08,5.8953155555555545
25600,5.368532802161039e-08,5.8953155555555545
