state,mae,rmse,max_abs_error
x,2.0749693906399958e-05,2.839948723707592e-05,0.00010426110697325797
y,4.5024984946214433e-05,5.918029043612651e-05,0.0001774289310363386
z,3.882777632062627e-05,5.296618319930875e-05,0.00019512629372475665
combined_l2,7.093530740522421e-05,8.43460385207027e-05,0.00023548754959579917
