state,mae,rmse,max_abs_error
x,5.704821174460691e-06,6.831187263551274e-06,1.2146959842251892e-05
y,8.371179347297443e-06,9.67884375684289e-06,1.6495120916282247e-05
z,6.904148815616113e-06,8.092737790120948e-06,1.4229404622145836e-05
combined_l2,1.3827116350018753e-05,1.434703944508181e-05,1.9301287631125078e-05
