iteration,loss
0,0.21674039959907532
1,0.1082237958908081
2,0.0640302374958992
3,0.0588228777050972
4,0.0667981505393982
5,0.0737309604883194
6,0.07549599558115005
7,0.07205957174301147
8,0.06467647105455399
9,0.05537280812859535
10,0.04651327058672905
11,0.04003741219639778
12,0.03682418167591095
13,0.03647122532129288
14,0.03761477395892143
15,0.03867560997605324
16,0.03858748450875282
17,0.03707659989595413
18,0.03447120636701584
19,0.03132027015089989
20,0.028092006221413612
21,0.025073477998375893
22,0.022434718906879425
23,0.020324107259511948
24,0.018873071298003197
25,0.01809111423790455
26,0.017752278596162796
27,0.017420729622244835
28,0.016662880778312683
29,0.015299628488719463
30,0.01348672341555357
31,0.011572194285690784
32,0.009866678155958652
33,0.008499296382069588
34,0.007432110141962767
35,0.0065717496909201145
36,0.005857293959707022
37,0.005260040983557701
38,0.004731605760753155
39,0.004181398078799248
40,0.0035232005175203085
41,0.0027502207085490227
42,0.0019603960681706667
43,0.0012983266497030854
44,0.0008603496244177222
45,0.000642517814412713
46,0.0005669962847605348
47,0.0005475532962009311
48,0.0005297408788464963
49,0.0004885141388513148
50,0.00041734473779797554
51,0.0003324300632812083
52,0.0002723231737036258
53,0.00027151309768669307
54,0.0003292883047834039
55,0.00041195654193870723
56,0.0004857604799326509
57,0.0005385517724789679
58,0.000569028954487294
59,0.0005696144071407616
60,0.0005321833305060863
61,0.0004658336692955345
62,0.0003966424847021699
63,0.0003467156202532351
64,0.00031836802372708917
65,0.0002991252113133669
66,0.00027592130936682224
67,0.00024211619165726006
68,0.00019717754912562668
69,0.00014656480925623327
70,0.00010128883877769113
71,7.216086669359356e-05
72,6.165038939798251e-05
73,6.23976593487896e-05
74,6.44955798634328e-05
75,6.324257992673665e-05
76,5.9694033552659675e-05
77,5.603361933026463e-05
78,5.282451456878334e-05
79,5.031512409914285e-05
80,4.9864291213452816e-05
81,5.258362944005057e-05
82,5.734079240937717e-05
83,6.126007792772725e-05
84,6.209476850926876e-05
85,5.955441883997992e-05
86,5.472775228554383e-05
87,4.916525722364895e-05
88,4.449684638530016e-05
89,4.184508361504413e-05
90,4.090341099072248e-05
91,3.999184264102951e-05
92,3.760365507332608e-05
93,3.3824428101070225e-05
94,2.9973924029036425e-05
95,2.7131549359182827e-05
96,2.543145092204213e-05
97,2.4567711079725996e-05
98,2.4332161046913825e-05
99,2.4495697289239615e-05
100,2.4641802156111225e-05
101,2.4460694476147182e-05
102,2.4041066353674978e-05
103,2.368535933783278e-05
104,2.3575408704346046e-05
105,2.373128882027231e-05
106,2.4102309907902963e-05
107,2.4512379241059534e-05
108,2.4650691557326354e-05
109,2.43293779931264e-05
110,2.3712222173344344e-05
