state,mae,rmse,max_abs_error
x,8.431760532882756e-06,9.662079179600608e-06,1.633584331844906e-05
y,9.564857523886044e-06,1.1123695972543e-05,1.9881853884795575e-05
z,7.131423932455732e-06,8.290763103795037e-06,1.4562264398776392e-05
combined_l2,1.6215247760384603e-05,1.6906482159387568e-05,2.2194055890767317e-05
