state,mae,rmse,max_abs_error
x,2.50778787032641e-05,3.51548687962914e-05,0.00013952310003884083
y,5.8298264488981386e-05,9.012561418525923e-05,0.00031944677905970664
z,3.4778571789197836e-05,4.766000705785874e-05,0.00017471396298107678
combined_l2,8.272950559427481e-05,0.00010784232659354957,0.00033881772723482064
