state,mae,rmse,max_abs_error
x,2.1284618264697825e-05,2.3602652139957624e-05,3.735541292765321e-05
y,7.172429050961359e-05,9.203329296957586e-05,0.0001935391844383183
z,1.2979945039426487e-05,1.658798173555563e-05,3.27803889312861e-05
combined_l2,7.909222215704426e-05,9.644881202442441e-05,0.0001963523802070616
