epoch,loss,residual_loss,ic_loss,grad_norm,update_norm,lr,layer_1_grad_norm,layer_2_grad_norm,layer_3_grad_norm,layer_4_grad_norm,layer_5_grad_norm
0,0.22225283258947037,0.22225283258947037,0.0,1.872625620407675,0.1062166260931104,0.001,0.30566004751905784,0.43040527705619014,0.4599352983824186,0.4762250445863675,0.23103121383892786
10,0.05389786360752329,0.05389786360752329,0.0,0.46436087134950055,0.04333391801419896,0.001,0.16239382309012299,0.20028441718705975,0.20220841504547302,0.2097482735155938,0.14677593093160948
20,0.026367280877471845,0.026367280877471845,0.0,0.35168774821180643,0.022783436076305598,0.001,0.03509438615573919,0.045036985032339036,0.051058313970861,0.06086904524872774,0.05275806067462546
30,0.0117700078378429,0.0117700078378429,0.0,0.10518436706823675,0.021935143002096185,0.001,0.026130884877254165,0.03354618348700387,0.028544293869935625,0.023500221751449165,0.01671276510801631
40,0.004862065634829262,0.004862065634829262,0.0,0.05685648264263535,0.023847866632616205,0.001,0.023090213692659796,0.026182661938683606,0.020844256901315528,0.01626169792065079,0.00980941114713139
50,0.0009054698078930527,0.0009054698078930527,0.0,0.05994951934013302,0.018630513345942876,0.001,0.004239055622735345,0.005826668687176502,0.008437254258563459,0.011923457583148674,0.01230526530156518
60,0.00012452828864649353,0.00012452828864649353,0.0,0.02950377303840258,0.009948843719189526,0.001,0.010062496431172453,0.010503371131503578,0.008011396120656695,0.007477702166201325,0.006529586304986337
70,0.0001999658562284602,0.0001999658562284602,0.0,0.017571914210872994,0.004681216411310183,0.001,0.006805798727483814,0.007520596725594975,0.005568165937307797,0.00460287285575461,0.004008170602605951
80,3.456761258186097e-05,3.456761258186097e-05,0.0,0.015664819349157817,0.005248758706438066,0.001,0.0017660772034601075,0.002199525980970793,0.0025116285236344853,0.003296488765040979,0.003150263169675647
90,9.94352222796866e-06,9.94352222796866e-06,0.0,0.0035507829316146285,0.002406352178846937,0.001,0.0018102079932479417,0.0017647128440541713,0.0012207654078156076,0.0010020293428329276,0.0007651682925151077
100,8.73285681466958e-06,8.73285681466958e-06,0.0,0.00393749132321209,0.0012729433141700406,0.001,0.0006091088242465041,0.0006338759668873626,0.000608464961679843,0.0007980724389629007,0.0008604467798055066
110,2.1792473636899373e-06,2.1792473636899373e-06,0.0,0.0016671502124992966,0.0009947800776842462,0.001,0.0007376825991611701,0.0008254756423380275,0.0006033184202076501,0.0004791874747552373,0.0003625572383468324
750,0.0007539403201587913,0.0007539403201587913,0.0,0.134667874145537,0.01989425132048243,0.001,0.04663126393729436,0.056667849229732864,0.045616777273306805,0.04267173071725018,0.032133990946410965
760,0.00015547107775494868,0.00015547107775494868,0.0,0.05016814598200549,0.014584167509367975,0.001,0.015699318629580402,0.02048581825621281,0.017814232100154436,0.015047285637367219,0.012754273730684976
770,0.00027074887826292036,0.00027074887826292036,0.0,0.06895890192151913,0.0043769146616618165,0.001,0.02296774587666637,0.027696522629620232,0.02274617409839744,0.020288097198514217,0.018119253732765926
780,2.4182714207454574e-05,2.4182714207454574e-05,0.0,0.021173809274119947,0.0037896980984099687,0.001,0.006781830706601725,0.008680733757813594,0.007186589193216624,0.006308896978160946,0.005015310092197763
790,1.600340665457905e-05,1.600340665457905e-05,0.0,0.014680045985724383,0.003230391419078228,0.001,0.004339302413125976,0.005579228443988334,0.00497806930585313,0.004354308426013759,0.00400914776638387
1380,0.0005981576817324025,0.0005981576817324025,0.0,0.129205971576198,0.0248112350182846,0.001,0.050453074533012926,0.05913752974987265,0.04789543175444445,0.039837972778680356,0.02917212149295728
