iteration,loss
0,0.22225283258947037
1,0.15403103488871128
2,0.10176319841029892
3,0.06565534989653456
4,0.045843234214275504
5,0.041143296213319545
6,0.046840441003212774
7,0.055085337005459464
8,0.05959192896960479
9,0.05869743450068101
10,0.05389786360752329
11,0.047476084090021076
12,0.04119897480726382
13,0.03599852991115532
14,0.03215258522575463
15,0.029574799994146663
16,0.02802793921797117
17,0.02723004969021906
18,0.02688666723429515
19,0.02669624442477189
20,0.026367280877471845
21,0.025662368612595604
22,0.02445323841516777
23,0.02275356211496049
24,0.020708622292433556
25,0.01854669797165311
26,0.016512267701272308
27,0.01428202910169975
28,0.01308682808941539
29,0.012279014570541032
30,0.0117700078378429
31,0.011419211805008267
32,0.011079821652769314
33,0.010638529150751011
34,0.01003667479169836
35,0.009270976615937019
36,0.00838039077824254
37,0.0074279704662441395
38,0.006484012355185318
39,0.005612733700075381
40,0.004862065634829262
41,0.004255953474533585
42,0.0037900155658992228
43,0.003432691339669302
44,0.0031335764445423833
45,0.0028382367456775723
46,0.002505531956734366
47,0.0021212350312616052
48,0.0017021083555020186
49,0.0012486074908284565
50,0.0009054698078930527
51,0.0006368479072179936
52,0.0004534958907961898
53,0.00034279217834597603
54,0.0002792834074333274
55,0.00023917156424440951
56,0.00020875151354158674
57,0.00018342571362664527
58,0.00015566419463473324
59,0.00013891204855381647
60,0.00012452828864649353
61,0.00011560020589369054
62,0.0001189256482329791
63,0.00013986479749734465
64,0.00017591144020579904
65,0.00021577850764140297
66,0.0002455313533188815
67,0.0002561718742818198
68,0.00024722515261826195
69,0.00022539081295093835
70,0.0001999658562284602
71,0.00017776328077910526
72,0.0001605953448086652
73,0.00014651774039067738
74,0.00013287126419356024
75,0.00011826304532443176
76,0.00010254107596425501
77,8.587251913731648e-05
78,6.838470155915592e-05
79,5.071155549284065e-05
80,3.456761258186097e-05
81,2.2327008976146423e-05
82,1.5599881703606086e-05
83,1.350037822432425e-05
84,1.4575785308429739e-05
85,1.5643396618068736e-05
86,1.5184502979285323e-05
87,1.328333915331209e-05
88,1.1089925199445314e-05
89,9.817590599444444e-06
90,9.94352222796866e-06
91,1.1115498837415623e-05
92,1.2636052323228653e-05
93,1.3938658216700765e-05
94,1.4714317337165123e-05
95,1.4811794306602203e-05
96,1.4173279245086077e-05
97,1.2892899123725095e-05
98,1.1280735141656299e-05
99,9.780385574182208e-06
100,8.73285681466958e-06
101,8.162919110165577e-06
102,7.786675305579793e-06
103,7.244347127731419e-06
104,6.35938897870831e-06
105,5.227505415738017e-06
106,4.104012949555526e-06
107,3.213052879920882e-06
108,2.633839926530624e-06
109,2.3195541759218133e-06
110,2.1792473636899373e-06
111,2.1288374020785977e-06
112,2.0935665031735984e-06
113,2.0092701867450168e-06
114,1.8514130307288244e-06
115,1.6616139112116346e-06
116,1.5321335303384695e-06
117,1.3650021649452813e-05
118,1.4237589728044959e-06
119,1.381993187754208e-06
120,1.1475087221685285e-06
121,8.84457839958545e-07
122,8.78067967783388e-07
123,8.701848522418979e-07
124,8.660236237505181e-07
125,8.600684729297253e-07
126,8.591456122455511e-07
127,8.590673387088152e-07
128,8.590337441212926e-07
129,8.587620762957131e-07
130,8.587027597490379e-07
131,8.586693372608155e-07
132,8.584049868674312e-07
133,8.583393953369325e-07
134,8.583058992506919e-07
135,8.580512729464271e-07
136,8.566945415083328e-07
137,8.523766761967594e-07
138,8.419880510064849e-07
139,8.146280897465966e-07
140,7.494297940591493e-07
141,6.447344835396162e-07
142,5.001813767232584e-07
143,2.3465318270473568e-07
144,5.340938714005633e-07
145,2.103502076490602e-07
146,1.948898462248858e-07
147,1.5801271850824077e-07
148,1.4679353219251426e-07
149,1.4167744158950888e-07
150,1.3703992773193971e-07
151,1.3635816781553738e-07
152,1.3516497904240195e-07
153,1.3507139483900925e-07
154,1.349858894925474e-07
155,1.3491130316545372e-07
156,1.3425362585523844e-07
157,1.2903733760669163e-07
158,1.1046311289932975e-07
159,6.469890917867902e-08
160,3.781900434429376e-08
161,2.6955788337589847e-08
162,1.77815293126052e-08
163,1.68470604638972e-08
164,1.6680654961807058e-08
165,1.6508615012865903e-08
166,1.637074692372008e-08
167,1.635597972543522e-08
168,1.635404872258971e-08
169,1.6353084405290298e-08
170,1.635231487474093e-08
171,1.634710210152691e-08
172,1.634537486539891e-08
173,1.6344450292856528e-08
174,1.634368976458199e-08
175,1.6338280120474767e-08
176,1.6336721219833832e-08
177,1.633582910369634e-08
178,1.6335075717257892e-08
179,1.6329520224479875e-08
180,1.632808335444493e-08
181,1.632721903377193e-08
182,1.6326472259206956e-08
183,1.6320781305117627e-08
184,1.63194619295642e-08
185,1.6318621040791674e-08
186,1.6317879655039002e-08
187,1.6312085696025066e-08
188,1.6310854794481064e-08
189,1.631003403682784e-08
190,1.630622745303204e-08
191,1.6303415115580955e-08
192,1.6302263434584885e-08
193,1.6301458801941104e-08
194,1.6297288545410142e-08
195,1.629476650710911e-08
196,1.6293683094445575e-08
197,1.6292893969726038e-08
198,1.628836430151442e-08
199,1.6286144227543173e-08
200,1.6285117891000695e-08
201,1.6284340683732272e-08
202,1.6279549094860877e-08
203,1.6277541017555004e-08
204,1.627656380023044e-08
205,1.6275797865372585e-08
206,1.627075360692961e-08
207,1.6268959276851652e-08
208,1.626802326918232e-08
209,1.6267266194609676e-08
210,1.6262034192168434e-08
211,1.626039437400997e-08
212,1.6259493800985148e-08
213,1.625874500096545e-08
214,1.6253335653443105e-08
215,1.6251847584825593e-08
216,1.625097684293728e-08
217,1.6250234685728915e-08
218,1.6244691539869884e-08
219,1.6243315933837955e-08
220,1.624247083854439e-08
221,1.6241734829058483e-08
222,1.623606762853878e-08
223,1.6234800064807823e-08
224,1.623397663788329e-08
225,1.6233245664986098e-08
226,1.6227483817993305e-08
227,1.622629805200821e-08
228,1.6225493265208745e-08
229,1.6221579565374944e-08
230,1.6218923781366714e-08
231,1.6217811214847117e-08
232,1.6217021415830797e-08
233,1.6212771527123384e-08
234,1.621038471798244e-08
235,1.620933527993924e-08
236,1.6208559860805857e-08
237,1.6203978945219475e-08
238,1.620187049583603e-08
239,1.6200873933292264e-08
240,1.62001096251036e-08
241,1.619528625526156e-08
242,1.6193374567696733e-08
243,1.6192423550102573e-08
244,1.6191669735353854e-08
245,1.6186613139120738e-08
246,1.618489906702929e-08
247,1.6183986328392923e-08
248,1.6183240802720985e-08
249,1.6178010192732505e-08
250,1.6176439800488698e-08
251,1.6175560010236265e-08
252,1.6174822219514137e-08
253,1.616942759584404e-08
254,1.6167997902940462e-08
255,1.6167145899615695e-08
256,1.6166414347249085e-08
257,1.6160895571499943e-08
258,1.615957067005656e-08
259,1.6158742583426884e-08
260,1.6158016803647016e-08
261,1.6152383116324068e-08
262,1.615115867371091e-08
263,1.615035082970582e-08
264,1.6146774729429662e-08
265,1.6143902488366696e-08
266,1.6142758966647542e-08
267,1.6141969490568323e-08
268,1.613796171912007e-08
269,1.613545115026062e-08
270,1.6134375284652984e-08
271,1.6133599745920697e-08
272,1.612928116144295e-08
273,1.6127019845490502e-08
274,1.612600238105219e-08
275,1.6125240185331194e-08
276,1.6120616605083302e-08
277,1.611861201778619e-08
278,1.6117643559002075e-08
279,1.6116891728291832e-08
280,1.6112043673200544e-08
281,1.6110221758970824e-08
282,1.6109295550897772e-08
283,1.610855349562122e-08
284,1.6103490090127402e-08
285,1.6101850967102398e-08
286,1.6100960332504954e-08
287,1.6100226037006153e-08
288,1.6095001315475214e-08
289,1.6093495843094244e-08
290,1.6092635860465563e-08
291,1.6091908801170775e-08
292,1.6086532350893993e-08
293,1.6085157397186407e-08
294,1.6084323310484636e-08
295,1.608360211398763e-08
296,1.6078110444393786e-08
297,1.6076833169919338e-08
298,1.607602139864922e-08
299,1.6075305627049363e-08
300,1.606970748931224e-08
301,1.6068523669688736e-08
302,1.6067730819404276e-08
303,1.6064064558283364e-08
304,1.6061334551287037e-08
305,1.6060226208818952e-08
306,1.605945052525116e-08
307,1.605538289777852e-08
308,1.6052989307528217e-08
309,1.6051944182004222e-08
310,1.6051181590089907e-08
311,1.6046823549148236e-08
312,1.6044663309905553e-08
313,1.6043672801892023e-08
314,1.604292272475316e-08
315,1.603828042289878e-08
316,1.6036359678386005e-08
317,1.6035415079580348e-08
318,1.6034674768241456e-08
319,1.6029822399694047e-08
320,1.6028073000704688e-08
321,1.6027168022295458e-08
322,1.6026436913728418e-08
323,1.6021383394101314e-08
324,1.6019805000787477e-08
325,1.6018933437211277e-08
326,1.601820966424039e-08
327,1.6013004960297863e-08
328,1.6011552185739427e-08
329,1.601070944572978e-08
330,1.6009992511746175e-08
331,1.600464580392734e-08
332,1.6003315474995777e-08
333,1.6002497126760518e-08
334,1.6001785755223255e-08
335,1.599633092134306e-08
336,1.59950925991304e-08
337,1.5994295295371303e-08
338,1.5993589072156105e-08
339,1.5988034425882778e-08
340,1.5986884021382757e-08
341,1.5986104590828207e-08
342,1.5982383900817505e-08
343,1.597976648838399e-08
344,1.5978687253330094e-08
345,1.5977924042174943e-08
346,1.5973825837579095e-08
347,1.5971524960921023e-08
348,1.5970505433969706e-08
349,1.5969754643736547e-08
350,1.5965382183740905e-08
351,1.5963302016158724e-08
352,1.5962334124780637e-08
353,1.5961595198192403e-08
354,1.595695472755243e-08
355,1.5955100537289263e-08
356,1.595417611844468e-08
357,1.595344648438376e-08
358,1.5948607291777495e-08
359,1.5946915492070996e-08
360,1.594602863004968e-08
361,1.594530775003795e-08
362,1.594027847796556e-08
363,1.593874847929011e-08
364,1.5937893341697805e-08
365,1.5937179463607774e-08
366,1.593200693183194e-08
367,1.5930596240064433e-08
368,1.5929768498801374e-08
369,1.5929061149480943e-08
370,1.592375415045282e-08
371,1.5922459630231624e-08
372,1.5921655109165048e-08
373,1.5920953086917626e-08
374,1.591554346789214e-08
375,1.5914336525201072e-08
376,1.591355206197718e-08
377,1.5910194523702317e-08
378,1.5907356464516712e-08
379,1.5906228559822442e-08
380,1.5905460194045077e-08
381,1.590174000224827e-08
382,1.5899190175408615e-08
383,1.5898130794154387e-08
384,1.5897378073719965e-08
385,1.5893294797910697e-08
386,1.5891049443437735e-08
387,1.589004763971248e-08
388,1.5889306931963613e-08
389,1.5884959215041988e-08
390,1.588292680945689e-08
391,1.5881974853077475e-08
392,1.588124562203908e-08
393,1.5876639492347775e-08
394,1.587482504253127e-08
395,1.5873915112178995e-08
396,1.5873194891465905e-08
397,1.5868396752365664e-08
398,1.5866739327373905e-08
399,1.5865865745046856e-08
400,1.5865154017073146e-08
401,1.5860172165365574e-08
402,1.585867120770242e-08
403,1.5857828371018622e-08
404,1.5857123450189906e-08
405,1.585200288790373e-08
406,1.585061755559079e-08
407,1.584980130086358e-08
408,1.5849102731929658e-08
409,1.584385190165977e-08
410,1.5842579202990433e-08
411,1.5841785508705626e-08
412,1.584109213233483e-08
413,1.583574173228309e-08
414,1.5834554104574634e-08
415,1.5833779921450337e-08
416,1.5830439176109586e-08
417,1.5827654633211312e-08
418,1.5826543850340386e-08
419,1.582578535115357e-08
420,1.582209196218895e-08
421,1.5819587743127825e-08
422,1.5818543655912183e-08
423,1.5817800409178915e-08
424,1.5813753783835898e-08
425,1.5811545777525705e-08
426,1.581055780725614e-08
427,1.5809826292720827e-08
428,1.5805521953525588e-08
429,1.5803521514702548e-08
430,1.580258218264232e-08
431,1.5801861885943113e-08
432,1.5797305511612874e-08
433,1.5795517666129973e-08
434,1.579461939432855e-08
435,1.5793907918723932e-08
436,1.578916399483103e-08
437,1.5787529555799886e-08
438,1.578666683811763e-08
439,1.5785963684928422e-08
440,1.578104013575654e-08
441,1.5779558705333558e-08
442,1.5778726100192345e-08
443,1.5778029626978314e-08
444,1.5772970275034783e-08
445,1.577160206848106e-08
446,1.5770795528656202e-08
447,1.5770105295285465e-08
448,1.576491825580976e-08
449,1.5763660472035956e-08
450,1.5762876081809003e-08
451,1.57621909556736e-08
452,1.575690620185917e-08
453,1.5755731918545027e-08
454,1.5754966706820775e-08
455,1.575167163230766e-08
456,1.5748916748141044e-08
457,1.5747817983474637e-08
458,1.5747068205745478e-08
459,1.574342656769089e-08
460,1.574094710176251e-08
461,1.573991395924088e-08
462,1.5739179210009746e-08
463,1.57351899312957e-08
464,1.573300194209403e-08
465,1.5732024081632257e-08
466,1.57313009040298e-08
467,1.5727057748495666e-08
468,1.5725074171247054e-08
469,1.572414428282134e-08
470,1.5723432184598327e-08
471,1.571894035187932e-08
472,1.571716649691376e-08
473,1.5716277155312437e-08
474,1.5715573776781232e-08
475,1.5710896732310647e-08
476,1.5709274310221512e-08
477,1.570842012040875e-08
478,1.5707724980098345e-08
479,1.5702870245284115e-08
480,1.5701399142083293e-08
481,1.5700574759158738e-08
482,1.5699886235951776e-08
483,1.5694897050105496e-08
484,1.5693537981826977e-08
485,1.569273943051142e-08
486,1.5692057096911386e-08
487,1.5686941264590734e-08
488,1.5685691669245393e-08
489,1.5684915094038015e-08
490,1.5684237829409672e-08
491,1.567902499804546e-08
492,1.5677858225082394e-08
493,1.5677100700538884e-08
494,1.5676428145329048e-08
495,1.56711254515532e-08
496,1.5670038088633008e-08
497,1.5669296828356167e-08
498,1.5665708708909034e-08
499,1.5663251766598215e-08
500,1.5662229040303394e-08
501,1.5661502602569337e-08
502,1.5657571973425175e-08
503,1.5655402161263515e-08
504,1.5654433948191185e-08
505,1.5653718933941435e-08
506,1.5649537964591465e-08
507,1.5647569642533896e-08
508,1.5646648791060628e-08
509,1.5645944729984868e-08
510,1.5641518134815955e-08
511,1.5639756918504388e-08
512,1.563887614616223e-08
513,1.5638180712216198e-08
514,1.5633571030653648e-08
515,1.563195943987322e-08
516,1.5631113456008273e-08
517,1.5630426184667412e-08
518,1.5625640535542373e-08
519,1.562417874965873e-08
520,1.5623362299246725e-08
521,1.5622681588494664e-08
522,1.5617762689093984e-08
523,1.5616411867933536e-08
524,1.5615621043003906e-08
525,1.5614946477691057e-08
526,1.560990182458462e-08
527,1.5608659649153367e-08
528,1.560789064979072e-08
529,1.5607221119799228e-08
530,1.560208007477606e-08
531,1.5600920129188194e-08
532,1.560017007234804e-08
533,1.559950522673545e-08
534,1.5594274703679538e-08
535,1.559319376084605e-08
536,1.5592459893642757e-08
537,1.5588949693771853e-08
538,1.558649490939508e-08
539,1.5585478326120718e-08
540,1.558475923652883e-08
541,1.558090763043488e-08
542,1.5578738962522243e-08
543,1.557777671988957e-08
544,1.557706902048365e-08
545,1.5572967854688017e-08
546,1.5570999873324156e-08
547,1.5570084902356477e-08
548,1.556938814605579e-08
549,1.5565041504512382e-08
550,1.5563280404472362e-08
551,1.5562405480666396e-08
552,1.556171734387867e-08
553,1.5557187698142804e-08
554,1.5555575996629604e-08
555,1.5554735877154313e-08
556,1.5554055911278182e-08
557,1.554934993157206e-08
558,1.5547888236884396e-08
559,1.554707769603027e-08
