epoch,ref_mse
0,0.056700769777295316
100,7.891306459756822e-06
200,2.25613947753279e-06
300,1.3186769069078982e-06
400,7.253832919832857e-07
500,3.8348740447837515e-07
600,1.9720099475985552e-07
700,1.0138247082160275e-07
800,5.473606814724582e-08
900,3.29635989518797e-08
1000,2.2961766663737293e-08
1100,1.8244277670418425e-08
1200,1.585178880445519e-08
1300,1.4503666167077444e-08
1400,1.3642489646845183e-08
1500,1.3033094854787094e-08
1600,1.2558747535166962e-08
1700,1.2163077474216143e-08
1800,1.1815895595854648e-08
1900,1.149715253707208e-08
2000,1.1201076247894136e-08
2100,1.0917800823530843e-08
2200,1.064207379438461e-08
2300,1.0372004962108908e-08
2400,1.010633006416917e-08
2500,9.841173219688532e-09
2600,9.581372202057778e-09
2700,9.319268488150322e-09
2800,9.05869135740711e-09
2900,8.800394335618028e-09
3000,8.544442744085745e-09
3100,8.351695606602891e-09
3200,1.114148143886784e-08
3300,7.272093141331585e-09
3400,6.943983857752701e-09
3500,6.718514600673469e-09
3600,6.515480995527684e-09
3700,9.485305146438783e-07
3800,5.783287941903907e-09
3900,5.414035443646474e-09
4000,5.249852094364028e-09
4100,5.1054113873270286e-09
4200,3.0732402679365975e-06
4300,5.239759708360976e-09
4400,4.277496377774659e-09
4500,4.101657109292242e-09
4600,4.0085747953424676e-09
4700,3.919346550953375e-09
4800,3.806853054409497e-09
4900,4.7048672985223145e-08
5000,3.6164963608002815e-09
5100,3.396782929739258e-09
5200,3.317156393473352e-09
5300,3.213235078745016e-09
5400,5.372746711193514e-09
5500,3.193959434281756e-09
5600,3.0235873683535776e-09
5700,2.9585591577364696e-09
5800,1.364657288676383e-06
5900,3.2602138722485945e-09
6000,2.8916662524815793e-09
6100,2.803775076089697e-09
6200,2.751457195068548e-09
6300,1.1935690287092297e-07
6400,2.9153186517337604e-09
6500,2.7146762251956026e-09
6600,6.158917698133973e-07
6700,2.962417182030391e-09
6800,6.157477486731208e-06
6900,3.4928817766776325e-09
7000,2.7646056208429847e-09
7100,2.658445234923202e-09
7200,1.2978534312367201e-06
7300,3.000793583362402e-09
7400,2.7474802392832533e-09
7500,7.576250524868664e-09
7600,2.0809813751245362e-08
7700,3.999948188179649e-07
7800,2.90459450691707e-09
7900,2.6727302205352643e-09
8000,8.625792098987085e-09
8100,3.1174369921328682e-09
8200,2.7683420022516342e-09
8300,2.063218520083971e-08
8400,2.815574620555852e-09
8500,3.121302115494227e-07
8600,3.014642233169498e-09
8700,2.71084372572774e-09
8800,3.7402517458308275e-08
8900,2.9255144217990368e-09
9000,3.0422667363306814e-09
9100,5.081422389489128e-09
9200,3.086906865686944e-09
9300,4.889849758783834e-09
9400,2.7701027925900175e-09
9500,2.6504643667018384e-09
9600,4.371488269902957e-07
9700,2.7193297802889493e-09
9800,4.366701938899909e-08
9900,2.7283040901784936e-09
10000,2.883097923236788e-08
10100,5.153910791287106e-06
10200,2.6770026661818313e-09
10300,2.5728154699078038e-09
10400,3.5703515682313372e-09
10500,2.5276552890704424e-09
10600,2.1963786865777749e-07
10700,3.2497969410504896e-07
10800,2.699631265060694e-09
10900,2.254153960672988e-07
11000,2.4023522153280285e-09
11100,1.0044848022411184e-07
11200,2.41985235879757e-09
11300,2.28928521895248e-09
11400,9.179779524702457e-08
11500,1.163876532735278e-08
11600,2.2221308085872067e-09
11700,7.291647014308169e-08
11800,2.177730654056906e-09
11900,2.6293319002008513e-07
12000,2.1450853140932814e-09
12100,1.0611936524153273e-07
12200,2.4554128009165558e-09
12300,3.593404472332086e-07
12400,2.0635009272267558e-09
12500,1.915425341952328e-09
12600,4.5631145961709043e-07
12700,2.5375779869674738e-09
12800,1.8542033960352999e-09
12900,1.7576230057539357e-09
13000,5.349758302947568e-09
13100,1.8249514513794118e-09
13200,2.706706613819311e-09
13300,1.6461376919053712e-09
13400,3.3236952422257173e-06
13500,1.720959363896845e-09
13600,1.5078618412639586e-09
13700,9.347259377346801e-09
13800,1.5894825340734444e-09
13900,1.0192922167383722e-06
14000,1.43388700494987e-09
14100,1.3109344318192992e-09
14200,2.4731800923951445e-07
14300,1.287258250196779e-09
14400,1.1868436993544206e-09
14500,1.0708466903549287e-08
14600,1.1163112691481732e-09
14700,2.6396835770554285e-06
14800,1.247775827244255e-09
14900,9.944222609978043e-10
15000,2.0166226224967166e-07
15100,9.619468692936786e-10
15200,8.771682130111426e-10
15300,4.629067400679342e-08
15400,8.519146014670519e-10
15500,7.739772363724115e-10
15600,3.437372501149075e-09
15700,2.358268309535052e-09
15800,6.550187019185196e-10
15900,1.7798768242150514e-09
16000,6.157382363367932e-10
16100,4.90819381448502e-09
16200,2.25689210420103e-09
16300,8.044234756001581e-10
16400,4.771125883465549e-10
16500,5.432470283101821e-09
16600,1.2454549747845689e-09
16700,5.720172634949065e-10
16800,6.14440440188972e-10
16900,6.2412820543582046e-09
17000,3.915110636265846e-07
17100,3.7549092399311833e-10
17200,4.636230323310363e-10
17300,6.027356718800048e-10
17400,3.039951448403707e-10
17500,4.073927125194118e-10
17600,2.3951451333098877e-10
17700,1.047154089339246e-07
17800,2.5445898165246577e-10
17900,1.950208330831241e-10
18000,5.7703747896748546e-09
18100,1.7827713348322392e-10
18200,4.173281491617767e-10
18300,1.7135167075219194e-10
18400,1.4798504112621925e-10
18500,1.3677379608507592e-10
18600,4.390039688518013e-10
18700,1.2367899767699299e-10
18800,7.555853170140056e-10
18900,1.1044513225211085e-10
19000,3.2564229347078813e-09
19100,1.0150470619135689e-10
19200,9.599180621330648e-11
19300,3.1286752348898055e-10
19400,4.204574836533928e-10
19500,1.9760628902782335e-09
19600,3.28993877047786e-08
19700,8.160428241252557e-11
19800,7.350441169016367e-11
19900,1.6933100519947054e-08
19999,6.861251361291113e-11
