epoch,ref_mse,trained_until
0,0.012813605102109143,0.4912762962962962
100,1.6278248559671223e-07,0.4912762962962962
2000,2.111730341277567e-05,0.9825525925925924
4000,1.246991584971164e-07,1.4738288888888886
5900,5.118134373605028e-06,1.9651051851851848
7900,1.1287647200644635e-07,2.456381481481481
11400,6.344850969029465e-09,3.4389340740740737
15100,9.213070299850907e-07,4.421486666666666
17100,1.8910824481908193e-07,4.912762962962962
19100,1.4701574609845787e-07,5.4040392592592585
19200,2.54018363709029e-09,5.4040392592592585
19300,2.6113459291672818e-09,5.4040392592592585
19400,2.6041511078660383e-09,5.4040392592592585
19500,2.596265109446058e-09,5.4040392592592585
19600,2.587227892062084e-09,5.4040392592592585
19700,2.577057489968562e-09,5.4040392592592585
19800,2.565752568112456e-09,5.4040392592592585
19900,2.7722368525657866e-09,5.4040392592592585
20000,2.8707619927561154e-09,5.4040392592592585
20100,2.5413472612977723e-09,5.4040392592592585
20200,2.1017435205328232e-09,5.4040392592592585
20300,5.571563838412277e-08,5.4040392592592585
20400,5.160989310724593e-08,5.4040392592592585
20500,1.1781593760405384e-08,5.4040392592592585
20600,6.863702382222278e-09,5.4040392592592585
20700,2.7423697480221164e-08,5.4040392592592585
20800,5.176831163158578e-08,5.4040392592592585
20900,4.833746833449529e-08,5.4040392592592585
21000,4.722627223848089e-08,5.4040392592592585
21100,2.552477215473814e-09,5.4040392592592585
21200,2.3402247661625197e-09,5.4040392592592585
21300,1.3019167972825527e-07,5.4040392592592585
21400,4.5524051676419744e-08,5.4040392592592585
21500,4.741359285857663e-08,5.4040392592592585
21600,5.0591955677264783e-08,5.4040392592592585
21700,3.623806629546577e-08,5.4040392592592585
21800,4.5715449289818454e-08,5.4040392592592585
21900,4.429445783706069e-08,5.4040392592592585
22000,9.387068933395659e-08,5.4040392592592585
22100,2.2490431988883992e-09,5.4040392592592585
22200,8.434825869767725e-09,5.4040392592592585
22300,4.128476360566064e-08,5.4040392592592585
22400,4.92859829257552e-09,5.4040392592592585
22500,3.783972950026218e-08,5.4040392592592585
22600,9.317091865789258e-08,5.4040392592592585
22700,1.9282035278169294e-08,5.4040392592592585
22800,1.3245036953175505e-08,5.4040392592592585
22900,4.985208378781927e-08,5.4040392592592585
23000,5.0904946769851405e-08,5.4040392592592585
23100,2.104838550296056e-09,5.4040392592592585
25000,2.423925782755576e-06,5.8953155555555545
25100,4.511332900885362e-09,5.8953155555555545
25200,5.028235897414724e-09,5.8953155555555545
25300,5.0054799047453705e-09,5.8953155555555545
25400,4.98237575869131e-09,5.8953155555555545
25500,1.0309247418971105e-08,5.8953155555555545
25600,8.235117620037047e-08,5.8953155555555545
25700,6.496718446127927e-08,5.8953155555555545
25800,1.0414223145161246e-08,5.8953155555555545
