state,mae,rmse,max_abs_error
x,4.094472606678453e-06,4.931133828601264e-06,8.915920101881802e-06
y,4.350861328118338e-06,5.234939293641651e-06,9.656759958120986e-06
z,5.569110438914175e-06,6.3831523394602575e-06,1.0727317688474791e-05
combined_l2,8.966959973775944e-06,9.615888104197452e-06,1.391963729783749e-05
