iteration,min_w
0,0.02864495805177401
1,0.08977617814455546
2,0.2107009077148331
3,0.37847345343497757
4,0.5171167344594824
5,0.535248526818295
6,0.4746184887457017
7,0.44267564943565546
8,0.45925927222151103
9,0.5075256362852527
10,0.5692582854508557
11,0.6296007968121007
12,0.6783522321219015
13,0.7111885358217388
14,0.7295597080103111
15,0.7393300126672336
16,0.7485086783923179
17,0.7640582309603575
18,0.7889358290491664
19,0.8211526397960239
20,0.8550190169545685
21,0.8838308481106993
22,0.9032402198298559
23,0.9137556996600725
24,0.9203126326143732
25,0.9288060730031363
26,0.9423947355302257
27,0.9600780144273912
28,0.977635835968643
29,0.9947234746709606
30,0.9484701569423392
31,0.9305367188224974
32,0.8918229891361169
33,0.8680189722265176
34,0.8683474150771491
35,0.8814302730731192
36,0.8898677594215771
37,0.8829158196953123
38,0.8615508685632564
39,0.8362597903032472
40,0.8211373179515497
41,0.8264718533310625
42,0.8527691440804919
43,0.8893801576112036
44,0.92046906705609
45,0.9369114000399218
46,0.9426078973360436
47,0.9473494503508622
48,0.9566840193802734
49,0.9697480143819169
50,0.9825504018676
51,0.9919744566987317
52,0.9225818199902326
53,0.874519805920596
54,0.8122025690713116
55,0.7762736946366106
56,0.7786075070449681
57,0.8053691996161265
58,0.8305651112143907
59,0.8361378366722797
60,0.8250215973404228
61,0.8128758421267246
62,0.8127741284673585
63,0.829290478712174
64,0.8595129889401246
65,0.8945294056454273
66,0.922056464126122
67,0.9342091817692159
68,0.9352999823163024
69,0.9376042104236364
70,0.9484630175394196
71,0.9644027548742429
72,0.9769510826318126
73,0.9812055650179552
74,0.9779987112977779
75,0.9713591546043037
76,0.9664860376383565
77,0.9673114792278188
78,0.9731095658385472
79,0.9786539938053324
80,0.9797603407387552
81,0.9777630327537388
82,0.9769594360812771
83,0.9794389572062732
84,0.9840437501603813
85,0.9885863251622062
86,0.9916944385906751
87,0.9199808286212237
88,0.9092763887975208
89,0.9042917351169203
90,0.9153152059097043
91,0.9336005844959397
92,0.9433072482573948
93,0.9398533368730828
94,0.9315713229157568
95,0.9279925127665188
96,0.9329594604711243
97,0.9444068716768917
98,0.955795965812233
99,0.960835266452539
100,0.9600244650349399
101,0.9596947578943472
102,0.9638633579467919
103,0.9705056782197806
104,0.9753991809264825
105,0.9763513248060987
106,0.9739586455536596
107,0.9709627898965741
108,0.9703848683494554
109,0.9725107827427126
110,0.9746575939746233
111,0.974800938970761
112,0.9738301790215502
113,0.9736367672204588
114,0.9749258421937784
115,0.9772783325384174
116,0.9796826551571004
117,0.980967728405864
118,0.980962414087277
119,0.9808446480990262
120,0.9815250179454442
121,0.9825009561150279
122,0.982864119446585
123,0.9824812512765912
124,0.9817908785178776
125,0.9812701833714221
126,0.981245896295423
127,0.9816206323094068
128,0.9818982315303955
129,0.9818419993279214
130,0.98177449440048
131,0.9820318211997395
132,0.9825421071478203
133,0.9830346542516355
134,0.9833202115922168
135,0.9833729955900818
136,0.9833449999962625
137,0.9834121149198233
138,0.9835463025875355
139,0.9835827927443375
140,0.9834720467803162
141,0.9833148828727802
142,0.9832229276140175
143,0.983239221601096
144,0.9833195782080684
145,0.9833726366481838
146,0.9833738508549871
147,0.9833911134096276
148,0.9834689162194425
149,0.9835718730816292
150,0.9836491658768216
151,0.9836800884658925
152,0.9836742262771473
153,0.9836678422846555
154,0.98368538545469
155,0.9837033840014083
156,0.9836918590860348
157,0.9836628806855928
158,0.9836450860295946
159,0.9836474147898686
160,0.9836632299609663
161,0.9836794825034884
162,0.9836855056178863
163,0.9836882631795197
164,0.983702391752252
165,0.9837254275030044
166,0.9837430642241387
167,0.9837497671446782
168,0.983750039656724
169,0.9837504047957545
170,0.9837546360803937
171,0.9837596883367691
172,0.9837599685287655
173,0.9837567540937461
174,0.9837560195563628
175,0.9837599150327146
176,0.9837661167817664
177,0.9837714751596361
178,0.9837746408613013
179,0.9837775182260798
180,0.9837823161730737
181,0.9837877601713625
182,0.9837914385594656
183,0.9837933213019878
184,0.9837948215312254
185,0.983797113986709
186,0.9838004002300342
187,0.9838034689385281
188,0.9838054244321609
189,0.9838072546631584
190,0.9838100303241446
191,0.9838133699909761
192,0.9838165161212352
193,0.9838191770458364
194,0.9838215420966028
195,0.9838242258020365
196,0.9838274294340167
197,0.9838305355019504
198,0.9838331428371048
199,0.9838355447965995
200,0.9838380742335662
201,0.9838407842783818
202,0.9838435273367421
203,0.9838461057945508
204,0.9838485902625113
205,0.9838512337154451
206,0.9838540511893734
207,0.9838568623752605
208,0.9838595707082747
209,0.983862200692956
210,0.9838648359621939
211,0.9838675030771785
212,0.9838701207604037
213,0.9838726715666039
214,0.9838752615566437
215,0.9838779582770558
216,0.9838807320639247
217,0.9838835100132998
218,0.9838862370888031
219,0.9838889449331604
220,0.9838916950244506
221,0.9838944662010752
222,0.9838972032139758
223,0.9838999032766711
224,0.983902601969824
225,0.9839053407901358
226,0.9839081299013366
227,0.9839109307900201
228,0.9839137130526374
229,0.9839164853392667
230,0.9839192595908715
231,0.9839220384894309
232,0.9839248235708418
233,0.98392761478573
234,0.9839304167912071
235,0.9839332330332733
236,0.983936056139526
237,0.9839388809256547
238,0.9839417101196755
239,0.9839445441588054
240,0.9839473793447985
241,0.9839502122460512
242,0.9839530465466441
243,0.9839558949091087
244,0.9839587653468325
245,0.9839616524509504
246,0.9839645455358512
247,0.98396743803305
248,0.9839703311742766
249,0.9839732296457456
250,0.9839761333658033
251,0.9839790394948635
252,0.9839819490667505
253,0.9839848662406588
254,0.9839877947044875
255,0.9839907344839307
256,0.9839936811719981
257,0.9839966305009177
258,0.9839995815019658
259,0.9840025354323118
260,0.9840054948021492
261,0.9840084618165644
262,0.9840114369055164
263,0.9840144195070054
264,0.9840174089788676
265,0.9840204050288417
266,0.984023407673528
267,0.9840264161001909
268,0.9840294287355789
269,0.9840324450321764
270,0.9840354664620659
271,0.9840384956164661
272,0.9840415339067289
273,0.9840445801980517
274,0.984047632157602
275,0.9840506884056143
276,0.9840537492219316
277,0.9840568156019897
278,0.9840598878700334
279,0.9840629656349925
280,0.9840660488371257
281,0.9840691381704003
282,0.9840722345126296
283,0.9840753379721795
284,0.9840784475458347
285,0.9840815619674496
286,0.9840846807852253
287,0.984087804631021
288,0.9840909346183425
289,0.984094071386921
290,0.9840972147344953
291,0.9841003641110249
292,0.9841035192276298
293,0.9841066801661655
294,0.984109846995241
295,0.9841130194524378
296,0.9841161971912096
297,0.9841193802602097
298,0.9841225691771326
299,0.9841257644718324
300,0.9841289661666286
301,0.9841321737714331
302,0.9841353867614213
303,0.9841386049846138
304,0.9841418286404326
305,0.98414505795811
306,0.9841482929906067
307,0.9841515337115437
308,0.9841547801802044
309,0.9841580325232564
310,0.9841612907541288
311,0.984164554669408
312,0.9841678239960493
313,0.9841710986408034
314,0.9841743787684453
315,0.9841776646369272
316,0.9841809563669688
317,0.9841842538847021
318,0.9841875570582337
319,0.9841908658295706
320,0.9841941802010061
321,0.984197500137636
322,0.9842008255483644
323,0.9842041563883306
324,0.984207492741784
325,0.9842108347592889
326,0.9842141825044762
327,0.9842175358813057
328,0.9842208947245771
329,0.9842242589468372
330,0.9842276285835371
331,0.984231003711081
332,0.9842343843539009
333,0.9842377704868227
334,0.9842411621029683
335,0.9842445592396142
336,0.9842479619239146
337,0.9842513701123513
338,0.9842547837114783
339,0.9842582026648121
340,0.9842616270056307
341,0.9842650568159591
342,0.9842684921404075
343,0.984271932950053
344,0.9842753791850781
345,0.9842788308130996
346,0.9842822878362287
347,0.9842857502542961
348,0.9842892180440789
349,0.9842926911833673
350,0.9842961696825395
351,0.9842996535757802
352,0.9843031428784192
353,0.9843066375618138
354,0.9843101375759018
355,0.9843136428916694
356,0.9843171535157961
357,0.9843206694677734
358,0.9843241907531326
359,0.9843277173628131
360,0.9843312492897861
361,0.9843347865344267
362,0.9843383290915995
363,0.984341876940894
364,0.9843454300576245
365,0.984348988432855
366,0.9843525520772645
367,0.984356121003751
368,0.9843596952096463
369,0.9843632746779558
370,0.9843668593920936
371,0.9843704493440716
372,0.9843740445288657
373,0.98437764493728
374,0.9843812505593793
