epoch,ref_mse,trained_until
0,0.012793167843358957,0.4912762962962962
100,1.3752861805510543e-07,0.4912762962962962
200,6.9963715688711235e-09,0.4912762962962962
300,6.913182397775515e-09,0.4912762962962962
400,6.761693274252883e-09,0.4912762962962962
500,6.588251077884576e-09,0.4912762962962962
600,6.394902743526062e-09,0.4912762962962962
700,6.1834221455374255e-09,0.4912762962962962
800,5.9554030158444375e-09,0.4912762962962962
900,5.712387257989813e-09,0.4912762962962962
1000,5.456214312353621e-09,0.4912762962962962
1100,5.214454088458361e-09,0.4912762962962962
1200,4.962770714959909e-09,0.4912762962962962
1300,4.702764012495194e-09,0.4912762962962962
1400,4.436219271928577e-09,0.4912762962962962
2100,1.0314961284126391e-07,0.9825525925925924
2800,9.46243403944543e-06,1.4738288888888886
3500,2.275398558199659e-05,1.9651051851851848
4300,2.0454494016942467e-08,2.456381481481481
4900,3.133996045301843e-07,2.9476577777777773
5600,1.3837661063923404e-06,3.4389340740740737
6300,3.068367483213458e-05,3.9302103703703697
7100,3.963622130836715e-08,4.421486666666666
7800,8.784197652314955e-08,4.912762962962962
7900,1.975738183588371e-09,4.912762962962962
8000,1.6791437474488877e-09,4.912762962962962
8100,1.6785313113553671e-09,4.912762962962962
8200,1.677002796481983e-09,4.912762962962962
8300,1.6752675426348566e-09,4.912762962962962
8400,1.6733288597633541e-09,4.912762962962962
8500,1.6711894050182512e-09,4.912762962962962
8600,1.6688497897377105e-09,4.912762962962962
8700,1.6663091012694405e-09,4.912762962962962
8800,1.6638021588694704e-09,4.912762962962962
8900,1.654087754511496e-09,4.912762962962962
9000,1.4178636535406595e-08,4.912762962962962
9100,1.487796247806427e-08,4.912762962962962
9200,1.7549428399086632e-08,4.912762962962962
9300,2.1013537092013037e-08,4.912762962962962
9400,2.5311828004438635e-08,4.912762962962962
9500,3.021344879197613e-08,4.912762962962962
9600,3.5161321288182035e-08,4.912762962962962
9700,3.94971580171148e-08,4.912762962962962
10400,8.507150201945779e-07,5.4040392592592585
10500,3.3619352730839075e-09,5.4040392592592585
10600,3.2498934885648858e-09,5.4040392592592585
10700,3.243562528061651e-09,5.4040392592592585
10800,3.2371236035023394e-09,5.4040392592592585
10900,3.229666330508558e-09,5.4040392592592585
11000,3.2212211823534443e-09,5.4040392592592585
11100,3.211592557506789e-09,5.4040392592592585
11200,1.9504129593656327e-08,5.4040392592592585
11300,2.1062753858963035e-08,5.4040392592592585
11400,4.409426882925748e-09,5.4040392592592585
11500,3.1842980829193354e-09,5.4040392592592585
11600,2.3588329258665924e-08,5.4040392592592585
11700,2.6220424031535254e-08,5.4040392592592585
11800,2.9708532322395693e-08,5.4040392592592585
11900,3.327753881466196e-08,5.4040392592592585
12000,3.653241469282141e-08,5.4040392592592585
12100,3.916936431827456e-08,5.4040392592592585
12200,4.105819591149102e-08,5.4040392592592585
12300,4.221407724093551e-08,5.4040392592592585
12400,3.3820341171195494e-09,5.4040392592592585
12500,5.092709385880752e-09,5.4040392592592585
12600,4.435437504871785e-08,5.4040392592592585
12700,3.3769363251844504e-08,5.4040392592592585
12800,4.635623034411598e-08,5.4040392592592585
12900,5.482508679269963e-08,5.4040392592592585
13000,4.905509732928966e-08,5.4040392592592585
13100,4.965539906847176e-08,5.4040392592592585
13200,3.778687162268505e-08,5.4040392592592585
13300,4.287208951526003e-08,5.4040392592592585
13400,3.3560007600103646e-09,5.4040392592592585
13500,2.9374852428299564e-09,5.4040392592592585
13600,4.1402379896793996e-08,5.4040392592592585
13700,6.783571875052732e-08,5.4040392592592585
13800,4.3042930903674386e-08,5.4040392592592585
13900,3.844974718803182e-08,5.4040392592592585
14000,3.447765610194127e-08,5.4040392592592585
14100,1.893515295826855e-08,5.4040392592592585
14200,4.790074061194251e-08,5.4040392592592585
14300,5.6485291192691495e-08,5.4040392592592585
14400,6.840576956334991e-09,5.4040392592592585
15100,3.3859543924734224e-06,5.8953155555555545
15200,4.810972357603201e-09,5.8953155555555545
15300,5.045240217711838e-09,5.8953155555555545
15400,5.031538261502726e-09,5.8953155555555545
15500,5.012858883970723e-09,5.8953155555555545
15600,7.417415640230325e-09,5.8953155555555545
15700,1.9191962811870365e-08,5.8953155555555545
15800,2.091351157589639e-08,5.8953155555555545
15900,2.1941575519145632e-08,5.8953155555555545
16000,2.2965083201618757e-08,5.8953155555555545
16100,9.52761266225384e-09,5.8953155555555545
16200,4.892199166171301e-09,5.8953155555555545
16300,2.221699601340395e-08,5.8953155555555545
16400,2.306696619856119e-08,5.8953155555555545
16500,2.4914027103796135e-08,5.8953155555555545
16600,2.7261123510551317e-08,5.8953155555555545
16700,1.847248541793923e-08,5.8953155555555545
16800,6.090274167876852e-08,5.8953155555555545
