state,mae,rmse,max_abs_error
x,4.878167048637418e-06,5.712028509016592e-06,9.981088358756995e-06
y,5.87953896493219e-06,6.6521069154611374e-06,1.0932049149259271e-05
z,1.0141918761196136e-05,1.1562888278864791e-05,1.8912783998126237e-05
combined_l2,1.3108647012770838e-05,1.4511312189187198e-05,2.3624732510105947e-05
