state,mae,rmse,max_abs_error
x,5.199067202227153e-06,5.768609996047137e-06,9.243259707525375e-06
y,1.1157251082993957e-05,1.3636126252433432e-05,2.5636886413771265e-05
z,8.269779282331447e-06,9.042390201889365e-06,1.250173403322119e-05
combined_l2,1.6606676170134403e-05,1.7348937172692278e-05,2.598920616516967e-05
