state,mae,rmse,max_abs_error
x,0.02622587138667079,0.036277176827855494,0.12095233763401642
y,0.24285273069469823,0.33507869473545776,0.9738864976844179
z,0.14112020935756941,0.21191897419520506,0.5985007856802511
combined_l2,0.29813225936051746,0.39812487594744134,1.0572614901428092
