epoch,loss,residual_loss,ic_loss,grad_norm,update_norm,lr,layer_1_grad_norm,layer_2_grad_norm,layer_3_grad_norm,layer_4_grad_norm
0,0.19527120888233185,0.19527120888233185,0.0,2.4701965295158335,0.101453498005867,0.001,0.6541675496753475,1.0978433578502238,0.9722141655330772,0.7700946507553333
10,0.04912445694208145,0.04912445694208145,0.0,0.46820389208578833,0.03581327944993973,0.00099955,0.11668751071312829,0.1740365760886923,0.16532402154365283,0.1250928146771417
20,0.03234377130866051,0.03234377130866051,0.0,0.33555586131722487,0.017403539270162582,0.0009991,0.10725010663779722,0.15461724858333145,0.14307850731197352,0.10426108035372032
30,0.017989404499530792,0.017989404499530792,0.0,0.26064801926635467,0.019236989319324493,0.00099865,0.057948694384252854,0.08494713550577221,0.08002489053397094,0.06542568408048505
40,0.007450052071362734,0.007450052071362734,0.0,0.13119185080601306,0.018712248653173447,0.0009982,0.038891164713751085,0.05433411178977077,0.0478280895426811,0.03795162843866701
50,0.0018148900708183646,0.0018148900708183646,0.0,0.05769223517297914,0.016109973192214966,0.00099775,0.014906019258137771,0.023110864141144834,0.017786799866559684,0.016585905391398797
60,0.0002349762071389705,0.0002349762071389705,0.0,0.024297527375697934,0.010717233642935753,0.0009973,0.004292321450863923,0.006076106277655549,0.00628677444363564,0.007191863839239834
70,0.00016149767907336354,0.00016149767907336354,0.0,0.019669371401962905,0.005721159279346466,0.00099685,0.008571552179536054,0.012235820319993863,0.007891712073266442,0.006160684709364268
80,0.00011510427430039272,0.00011510427430039272,0.0,0.018773026717008996,0.003433306934311986,0.0009964,0.006579955268684166,0.008725214218073226,0.00788326687759736,0.006357946331208948
90,4.929278657073155e-05,4.929278657073155e-05,0.0,0.00901816895995059,0.0027233329601585865,0.00099595,0.0027557068322219434,0.004190727305980855,0.003265190063232336,0.002859358303261204
100,2.4415681764367037e-05,2.4415681764367037e-05,0.0,0.003027618604331022,0.00196172040887177,0.0009955,0.0004096955164909611,0.000655391880293921,0.0007484586928778185,0.0007739734709000654
110,2.264100476168096e-05,2.264100476168096e-05,0.0,0.0028147112604263043,0.0007958508213050663,0.00099505,0.0008860942204593738,0.0013660941025222283,0.001170334320863796,0.000961428943492187
120,2.1325766283553094e-05,2.1325766283553094e-05,0.0,0.001940156644223464,0.0005522276624105871,0.0009946,0.0005125196527096055,0.000778339863377212,0.00073523624095255,0.0006532156969450467
130,1.977702231670264e-05,1.977702231670264e-05,0.0,0.0006383810360953445,0.00046920598833821714,0.00099415,0.0001799979942310401,0.0002464789789749805,0.00022121033519637923,0.00020192193997878595
140,1.9472261556074955e-05,1.9472261556074955e-05,0.0,0.0007700878238601081,0.00023992967908270657,0.0009937000000000001,0.00024225792949451698,0.0003229020773983544,0.00031640803289060036,0.00024986028215125513
150,1.9257560779806226e-05,1.9257560779806226e-05,0.0,0.0003941012810952472,0.0001934691536007449,0.00099325,0.00014317544985446084,0.00015933561312515544,0.00012699388192070004,0.00010831236999361496
160,1.9032664567930624e-05,1.9032664567930624e-05,0.0,0.00034910941768615493,0.00018460712453816086,0.0009928,0.00012946056809014182,0.0001618291077939261,0.00011839495738691219,9.51194939550339e-05
170,1.8837881725630723e-05,1.8837881725630723e-05,0.0,0.00021553890241532832,0.00017276228754781187,0.00099235,0.00011576577005623965,0.00011339804032767379,8.068038018430505e-05,4.294024084095815e-05
180,1.8654092855285853e-05,1.8654092855285853e-05,0.0,0.00024053247432517834,0.0001729110663291067,0.0009919,0.00011806791743663425,0.00010956100630560032,8.679774312704872e-05,5.0280395376943824e-05
190,1.8462074876879342e-05,1.8462074876879342e-05,0.0,0.00020601306368407302,0.00017674679111223668,0.00099145,0.00011559311649257736,0.00010463066557621279,7.65198465888767e-05,3.4817675198111766e-05
200,1.8269853171659634e-05,1.8269853171659634e-05,0.0,0.00020279919147433553,0.00017921760445460677,0.000991,0.00011531376982353086,0.00010564819040846786,7.604200237680921e-05,3.477277199873627e-05
210,1.807434637157712e-05,1.807434637157712e-05,0.0,0.00019978021350756977,0.00018312115571461618,0.00099055,0.00011450069326698815,0.00010423561964957631,7.511597171394323e-05,3.2879568343966184e-05
220,1.7875630874186754e-05,1.7875630874186754e-05,0.0,0.00019787803567369918,0.00018686123075895011,0.0009901,0.00011341901746158386,0.000103039864978666,7.457650525757e-05,3.206500858475753e-05
230,1.767417779774405e-05,1.767417779774405e-05,0.0,0.00019686939112937015,0.000190543316421099,0.0009896500000000001,0.00011239084440773907,0.0001024437221462432,7.426719604271598e-05,3.230027684911623e-05
240,1.7469928934588097e-05,1.7469928934588097e-05,0.0,0.0001950577683996811,0.0001941785158123821,0.0009892,0.00011156607158503877,0.000101958989125859,7.373587834495646e-05,3.2005628618725625e-05
250,1.7263135305256583e-05,1.7263135305256583e-05,0.0,0.00019378845065043653,0.0001976444764295593,0.00098875,0.00011079454160699425,0.00010141143090322851,7.318950723487398e-05,3.166481852496372e-05
260,1.7053958799806423e-05,1.7053958799806423e-05,0.0,0.00019272336684380656,0.00020096760999877006,0.0009883,0.00010989033251704533,0.00010079795739159407,7.266746169554548e-05,3.145860296202078e-05
270,1.6842550394358113e-05,1.6842550394358113e-05,0.0,0.00019146302952085243,0.00020419237262103707,0.00098785,0.0001090021275609465,0.00010020974954108574,7.22531169628889e-05,3.133339699099799e-05
280,1.6629022866254672e-05,1.6629022866254672e-05,0.0,0.00019012980994260423,0.00020735323778353631,0.0009874,0.0001081714570375694,9.960240224457352e-05,7.182351039153141e-05,3.109689373504514e-05
290,1.6413529010606e-05,1.6413529010606e-05,0.0,0.0001888893204814234,0.00021041481522843242,0.0009869500000000001,0.00010732983161850873,9.900187508404693e-05,7.138332487214801e-05,3.088737910834686e-05
300,1.619623799342662e-05,1.619623799342662e-05,0.0,0.00018766607390339378,0.000213382561923936,0.0009865,0.00010644587734083673,9.839903237721462e-05,7.091581125335192e-05,3.069257611217519e-05
310,1.5977253497112542e-05,1.5977253497112542e-05,0.0,0.0001863853330974671,0.00021625214139930904,0.00098605,0.00010559365730232271,9.782283993351442e-05,7.049097583215428e-05,3.0528904689084656e-05
320,1.5756701031932607e-05,1.5756701031932607e-05,0.0,0.00018511338653900695,0.0002190526865888387,0.0009856,0.000104698582850416,9.722599686908789e-05,7.002682708765784e-05,3.0347491568681752e-05
330,1.5534704289166257e-05,1.5534704289166257e-05,0.0,0.00018382888394822538,0.00022177201753947884,0.00098515,0.00010382752306979015,9.661074059368903e-05,6.955117266575277e-05,3.010748920677109e-05
340,1.5311386960092932e-05,1.5311386960092932e-05,0.0,0.00018255533602223623,0.00022441019245889038,0.0009847,0.00010294007315741815,9.602549685741428e-05,6.910618140552984e-05,2.9949684447560166e-05
350,1.5086838175193407e-05,1.5086838175193407e-05,0.0,0.00018127565390201592,0.0002269882388645783,0.0009842499999999999,0.0001020493532309065,9.542324344101424e-05,6.864003127687944e-05,2.9754180693459378e-05
360,1.486116525484249e-05,1.486116525484249e-05,0.0,0.00017997863099263213,0.00022948179685045034,0.0009838,0.00010119210814832693,9.483667477399936e-05,6.820345962308281e-05,2.9572875815301637e-05
370,1.4634483704867307e-05,1.4634483704867307e-05,0.0,0.0001786906213299906,0.00023190926003735512,0.00098335,0.00010028295936823512,9.422766689362654e-05,6.771856927699846e-05,2.9367342158493933e-05
380,1.440689175069565e-05,1.440689175069565e-05,0.0,0.00017740017522673493,0.00023426709230989218,0.0009829,9.941212725802578e-05,9.363924789180829e-05,6.727910747988977e-05,2.9197075304490374e-05
390,1.4178466699377168e-05,1.4178466699377168e-05,0.0,0.00017611086055876717,0.00023656419944018126,0.0009824500000000002,9.851200829163093e-05,9.30398768967638e-05,6.681453037276243e-05,2.9016484857639177e-05
400,1.3949313142802566e-05,1.3949313142802566e-05,0.0,0.00017480987882684224,0.00023879107902757823,0.000982,9.763034306311264e-05,9.244275441606203e-05,6.636202986079728e-05,2.8832310664214695e-05
410,1.3719543858314864e-05,1.3719543858314864e-05,0.0,0.0001734959635513413,0.00024094711989164352,0.00098155,9.676378553562228e-05,9.184480080916166e-05,6.590926609249279e-05,2.8634169987922346e-05
420,1.3489216144080274e-05,1.3489216144080274e-05,0.0,0.00017221705518261098,0.00024305566330440342,0.0009811,9.584554298791069e-05,9.125698863525643e-05,6.545198635686369e-05,2.8499265500749772e-05
430,1.3258441867947113e-05,1.3258441867947113e-05,0.0,0.00017087929939958263,0.00024508460774086416,0.00098065,9.497744385783176e-05,9.063598192613516e-05,6.496568603227047e-05,2.824458600380676e-05
440,1.3027301974943839e-05,1.3027301974943839e-05,0.0,0.0001695873497887188,0.00024705962277948856,0.0009802,9.409061865933604e-05,9.006084804732857e-05,6.4541252077213e-05,2.81321146961448e-05
450,1.2795885595551226e-05,1.2795885595551226e-05,0.0,0.0001682753558956618,0.000248973403358832,0.00097975,9.319474031622957e-05,8.945577997629208e-05,6.407278217892481e-05,2.7948576781378248e-05
460,1.2564278222271241e-05,1.2564278222271241e-05,0.0,0.0001669592674596804,0.0002508317702449858,0.0009793,9.230251718954205e-05,8.88479458832971e-05,6.360450296675079e-05,2.7762193018963463e-05
470,1.2332541700743604e-05,1.2332541700743604e-05,0.0,0.00016562440827308885,0.00025262581766583025,0.00097885,9.143878988131036e-05,8.825386038062933e-05,6.315523482305056e-05,2.758941343259419e-05
480,1.2100816093152389e-05,1.2100816093152389e-05,0.0,0.00016432050280672052,0.00025435438146814704,0.0009784000000000001,9.05297235202125e-05,8.765140158264347e-05,6.269289172777799e-05,2.7441394611885825e-05
490,1.1869105946971104e-05,1.1869105946971104e-05,0.0,0.00016297946060191978,0.000256026309216395,0.00097795,8.96513400643073e-05,8.704952790800888e-05,6.22274454009133e-05,2.7266849002025962e-05
