state,mae,rmse,max_abs_error
x,6.969541354411264e-06,8.53307881226218e-06,1.4557573222440112e-05
y,7.474069700381873e-06,8.530948929169476e-06,1.3675745949459639e-05
z,2.7026022508833995e-05,3.0249073081399186e-05,4.8145389440090725e-05
combined_l2,3.012638407231537e-05,3.2566807426154074e-05,5.05439934975943e-05
