iteration,loss
0,3.457728862762451
1,6.9473876953125
2,3.307779312133789
3,5.145408630371094
4,1.2164262533187866
5,0.32248756289482117
6,0.22127661108970642
7,0.1685270220041275
8,0.7099004983901978
9,1.1324224472045898
10,0.4502788484096527
11,1.031174659729004
12,0.9619828462600708
13,0.5636305809020996
14,1.1370303630828857
15,0.47507601976394653
16,0.7949906587600708
17,0.6624475121498108
18,0.3773896098136902
19,0.6606417298316956
20,0.390474408864975
21,0.2961021363735199
22,0.453260213136673
23,0.2859870195388794
24,0.19587470591068268
25,0.2788926661014557
26,0.26194703578948975
27,0.16553111374378204
28,0.13702091574668884
29,0.16947008669376373
30,0.17401213943958282
31,0.13744290173053741
32,0.10551296174526215
33,0.09943830966949463
34,0.1067701056599617
35,0.11115712672472
36,0.10710592567920685
37,0.09758961945772171
38,0.08754557371139526
39,0.08007227629423141
40,0.07583662122488022
41,0.0740055963397026
42,0.0733109563589096
43,0.07270845025777817
44,0.07161672413349152
45,0.06988492608070374
46,0.06763871014118195
47,0.0651135966181755
48,0.06253515928983688
49,0.06006234511733055
50,0.0577794648706913
51,0.0557139627635479
52,0.053859978914260864
53,0.052197083830833435
54,0.05070141330361366
55,0.04935043305158615
56,0.048123687505722046
57,0.04700222983956337
58,0.04596792906522751
59,0.04500352591276169
60,0.04409376531839371
61,0.043227020651102066
62,0.04239710792899132
63,0.0416044183075428
64,0.040855828672647476
65,0.040162816643714905
66,0.039538100361824036
67,0.03899117186665535
68,0.0385243222117424
69,0.03813016414642334
70,0.03779219090938568
71,0.037488363683223724
72,0.037196800112724304
73,0.036901649087667465
74,0.03659677878022194
75,0.03628596290946007
76,0.035979438573122025
77,0.035688500851392746
78,0.03542037680745125
79,0.03517533838748932
80,0.03494691476225853
81,0.03472481295466423
82,0.034498997032642365
83,0.03426315262913704
84,0.034016404300928116
85,0.03376271575689316
86,0.03350858762860298
87,0.033260148018598557
88,0.03302087262272835
89,0.03279067948460579
90,0.03256666287779808
91,0.0323447585105896
92,0.032121691852808
93,0.03189615532755852
94,0.03166911005973816
95,0.031442977488040924
96,0.0312204547226429
97,0.03100341185927391
98,0.030792348086833954
99,0.03058643266558647
100,0.03038412518799305
101,0.030183877795934677
102,0.0299847275018692
103,0.02978655695915222
104,0.029589908197522163
105,0.029395626857876778
106,0.029204420745372772
107,0.029016554355621338
108,0.028831783682107925
109,0.028649495914578438
110,0.028469014912843704
