epoch,loss,residual_loss,ic_loss,grad_norm,update_norm,lr,layer_1_grad_norm,layer_2_grad_norm,layer_3_grad_norm,layer_4_grad_norm,layer_5_grad_norm
0,0.23775967955589294,0.23775967955589294,0.0,2.7002369717079793,0.12353441119194031,0.001,0.6356660765106884,0.9240154697394796,1.0231713101690267,0.9702470348836741,0.7623967992014907
10,0.05065784603357315,0.05065784603357315,0.0,0.5055805408063319,0.03979264944791794,0.00099955,0.1733532698898476,0.22303246620256045,0.23322850189920688,0.21564007478346242,0.19642848666610374
20,0.029221246019005775,0.029221246019005775,0.0,0.37286841158116757,0.019342707470059395,0.0009991,0.06481966640007422,0.08876903059580073,0.11033182896078766,0.11296478412916407,0.10401818799744501
30,0.013365969993174076,0.013365969993174076,0.0,0.1598481623721941,0.01728372648358345,0.00099865,0.04656345678872959,0.06288301558099808,0.08165385364971786,0.07586738972798475,0.06629839370659384
40,0.00472955871373415,0.00472955871373415,0.0,0.12728365930205204,0.0171187873929739,0.0009982,0.013068057703030555,0.020428700071062338,0.030554924048354495,0.038283055005045606,0.03962216146657625
50,0.0012548895319923759,0.0012548895319923759,0.0,0.07659886291733961,0.013309508562088013,0.00099775,0.022804164535306263,0.02591820984629798,0.02703111709337416,0.025326058704634957,0.022905364899380536
60,0.0001750822557369247,0.0001750822557369247,0.0,0.02871151143985625,0.009397041983902454,0.0009973,0.004096400096653981,0.0058619721934927965,0.008179248251274689,0.010171755960244213,0.009951690148749678
70,0.00012663737288676202,0.00012663737288676202,0.0,0.027408323505577353,0.0032307093497365713,0.00099685,0.0065040663889732045,0.008693895509224465,0.010068391020333835,0.01110148804423708,0.010100242177101263
80,0.00011634957627393305,0.00011634957627393305,0.0,0.015698417105996138,0.002100073266774416,0.0009964,0.004779285719674451,0.005956156585337405,0.007566742907068582,0.006778318546927925,0.005693082942291964
90,4.007880488643423e-05,4.007880488643423e-05,0.0,0.011974861026206474,0.002400564029812813,0.00099595,0.0037247779264954436,0.004146123631576377,0.004168720213901041,0.003795339703113015,0.003744522142689889
100,2.6406489268993028e-05,2.6406489268993028e-05,0.0,0.004873036375903751,0.0011276734294369817,0.0009955,0.0018482843039745534,0.00225766779592275,0.002091620417481405,0.0017477915590886524,0.0015039523341586888
110,2.6312380214221776e-05,2.6312380214221776e-05,0.0,0.0029985394090192197,0.0005482669803313911,0.00099505,0.0006251777503062779,0.0006915950948735486,0.000753458879586118,0.0009521747362535117,0.0009702982400151519
120,2.3610751668456942e-05,2.3610751668456942e-05,0.0,0.001720272453899225,0.0005462029366753995,0.0009946,0.0005244097266777451,0.0006699446256322064,0.0008411483496692169,0.0008081050989782757,0.0006758629518518995
130,2.2397844077204354e-05,2.2397844077204354e-05,0.0,0.00118359255012905,0.0003878234711010009,0.00099415,0.0002412441797438327,0.00037547669572242034,0.0005416408371385892,0.0005213542196336428,0.0004358497857080912
140,2.1874984668102115e-05,2.1874984668102115e-05,0.0,0.000650202785521552,0.00031069363467395306,0.0009937000000000001,0.00018103142493036345,0.0002322038305089433,0.00021160482504367986,0.0002424258515930964,0.00022216110390106287
150,2.129550739482511e-05,2.129550739482511e-05,0.0,0.0005887091307370248,0.00032669096253812313,0.00099325,0.0001815036304695983,0.0002110353857810037,0.00018449455458223568,0.00020353812390520648,0.00017836997430663954
160,2.076033160847146e-05,2.076033160847146e-05,0.0,0.00045473637745927067,0.00031731644412502646,0.0009928,0.0001266179576417234,0.00016848598456768867,0.000170761128258884,0.00017208975271746613,0.00013501678289002794
170,2.0259403754607774e-05,2.0259403754607774e-05,0.0,0.00035654045568226706,0.0003134136786684394,0.00099235,0.00012230878191151222,0.0001406576986515984,0.0001227139277274218,0.00014255597546270038,0.00010704540353778206
180,1.9753884771489538e-05,1.9753884771489538e-05,0.0,0.0003270391289276076,0.00031831261003389955,0.0009919,0.00012394683768793534,0.00014410052500246384,0.00012188204379475486,0.00014398855663607104,0.00010764407010840397
190,1.9252900528954342e-05,1.9252900528954342e-05,0.0,0.000295943654962672,0.0003229326684959233,0.00099145,0.00010883989298650824,0.0001345025397378636,0.00011969862655726269,0.0001376150432800194,9.728587333629388e-05
200,1.8755275959847495e-05,1.8755275959847495e-05,0.0,0.0002910495288830234,0.0003267723659519106,0.000991,0.00010737753182400404,0.00012975324702864353,0.0001173430860449169,0.0001350587984155902,9.500665334877275e-05
210,1.826031984819565e-05,1.826031984819565e-05,0.0,0.000290108930833227,0.0003299405216239393,0.00099055,0.0001090885016347565,0.00012939291166112074,0.00011405715557706844,0.00013359757210886332,9.5824064846322e-05
